average,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,average,average,average,average,average,average,average,average,average,average,average,nan,nan,nan,nan
test_code,,1B,1R1,1R2,2B,2R,3B,3R1,3R2,4R,5B,5R,,,,
time,#units:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AS2_555nm,,,,,,2.754,nan,3.505,23.767,nan,,,10.009,nan,nan,nan
AS2_590nm,,,,,,2.283,nan,4.96,28.999,nan,,,12.081,nan,nan,nan
AS2_630nm,,,,,,2.235,nan,4.715,23.804,nan,,,10.251,nan,nan,nan
AS2_680nm,,,,,,1.555,nan,3.449,11.353,nan,,,5.452,nan,nan,nan
AS2_CLEAR,,,,,,19.027,nan,23.606,89.779,nan,,,44.137,nan,nan,nan
AS2_NIR,,,,,,16.692,nan,12.889,15.786,nan,,,15.122,nan,nan,nan
AS3_415nm,,,,,,0.323,nan,1,0,nan,,,0.441,nan,nan,nan
AS3_445nm,,,,,,0.998,nan,1.333,0.75,nan,,,1.027,nan,nan,nan
AS3_480nm,,,,,,0.994,nan,1.78,1,nan,,,1.258,nan,nan,nan
AS3_515nm,,,,,,1,nan,3.333,0.88,nan,,,1.738,nan,nan,nan
AS3_555nm,,,,,,0.751,nan,3.667,0.999,nan,,,1.806,nan,nan,nan
AS3_590nm,,,,,,0.851,nan,3.669,1,nan,,,1.84,nan,nan,nan
AS3_630nm,,,,,,0.751,nan,3.472,0.991,nan,,,1.738,nan,nan,nan
AS3_680nm,,,,,,0.987,nan,2.333,0.744,nan,,,1.355,nan,nan,nan
AS3_CLEAR,,,,,,2.296,nan,11.405,2.883,nan,,,5.528,nan,nan,nan
AS3_NIR,,,,,,1.318,nan,4.495,1.295,nan,,,2.369,nan,nan,nan
O2_1,,,,,,4.166,4.94,1.181,1.326,0.461,,,2.415,nan,nan,nan
O2_2,,,,,,0.465,0.019,0.465,0.465,0.465,,,0.376,nan,nan,nan
O2_3,,,,,,0.002,0.036,0.002,0.002,0.002,,,0.009,nan,nan,nan
CO2v,,,,,,2665.383,,5283.781,2151.947,2296.588,,,3099.425,nan,nan,nan
O2_ave,,,,,,1.544,1.249,0.549,0.597,0.309,,,0.85,nan,nan,nan
O2_1_per,,,,,,15.606,,,4.791,-21.297,,,-0.3,nan,nan,nan
O2_2_per,,,,,,-20.969,,,-20.969,-20.969,,,-20.969,nan,nan,nan
O2_3_per,,,,,,-289.821,,,-291.823,-291.07,,,-290.905,nan,nan,nan
O2_ave_per,,,,,,6.944,,,-12.769,-38.189,,,-14.671,nan,nan,nan
CO2vmass,,,,,,4.596,,8.627,3.752,3.919,,,5.224,nan,nan,nan
VOCmass,,,,,,0.003,0.059,0.01,0.002,0.005,,,0.016,nan,nan,nan
CO2v_ER,,,,,,0.734,,1.466,0.626,0.814,,,0.91,nan,nan,nan
VOC_ER,,,,,,0,0.008,0.001,0,0.001,,,0.002,nan,nan,nan
CO2v_ER_min,,,,,,38.491,,53.505,17.918,27.493,,,34.352,nan,nan,nan
VOC_ER_min,,,,,,0.024,0.46,0.062,0.008,0.038,,,0.118,nan,nan,nan
CO2v_ER_hr,,,,,,2309.465,,3210.283,1075.092,1649.577,,,2061.104,nan,nan,nan
VOC_ER_hr,,,,,,1.445,27.618,3.745,0.483,2.259,,,7.11,nan,nan,nan
CO2v_EF,,,,,,3111.276,,2228.526,2036.76,2130.7,,,2376.815,nan,nan,nan
VOC_EF,,,,,,1.869,34.187,2.706,1.071,3.216,,,8.61,nan,nan,nan
CO2v_totmass,,,,,,3149.144,,6380.343,4475.736,5511.221,,,4879.111,nan,nan,nan
VOC_totmass,,,,,,1.612,245.069,8.467,1.537,7.183,,,52.774,nan,nan,nan
PWM4,,,,,,52.739,,163.05,nan,,,,107.895,nan,nan,nan
PWM5,,,,,,43.196,,116.2,nan,,,,79.698,nan,nan,nan
PWM6,,,,,,410.449,,7.275,nan,,,,208.862,nan,nan,nan
PWM7,,,,,,nan,,588.807,113.054,,,,350.93,nan,nan,nan
PWM8,,,,,,1023,,53.695,108.18,,,,394.958,nan,nan,nan
Flow8,,,,,,18.827,,17.038,13.354,,,,16.406,nan,nan,nan
Scale3,,,,,,42,,27.032,42,1.417,,,28.112,nan,nan,nan
Scale4,,,,,,42,,42,1.26,,,,28.42,nan,nan,nan
Scale5,,,,,,42,,42,42,,,,42,nan,nan,nan
Scale6,,,,,,42,,42,1.223,,,,28.408,nan,nan,nan
Scale7,,,,,,42,,42,42,,,,42,nan,nan,nan
Scale8,,,,,,1.006,,42,42,,,,28.335,nan,nan,nan
mode3,,,,,,0.742,,nan,1.989,1.989,,,1.573,nan,nan,nan
mode4,,,,,,0.536,,nan,nan,,,,0.536,nan,nan,nan
mode5,,,,,,0.426,,nan,nan,,,,0.426,nan,nan,nan
mode6,,,,,,6.999,,nan,nan,,,,6.999,nan,nan,nan
mode7,,,,,,nan,,nan,5.714,,,,5.714,nan,nan,nan
mode8,,,,,,8,,nan,4.786,,,,6.393,nan,nan,nan
O2_set,,,,,,2635.56,,,,,,,2635.56,nan,nan,nan
state,,,,,,7.091,,,3.015,,,1,3.702,nan,nan,nan
 controlfan,,,,,,1.731,,,,,,,1.731,nan,nan,nan
O2_4,,,,,,,-0.001,,,,,,-0.001,nan,nan,nan
o2set,,,,,,,,110,125,,,,117.5,nan,nan,nan
Ignitor,,,,,,,,0.988,nan,,,,0.988,nan,nan,nan
TotalPrimaryFlow,,,,,,,,205.941,,,,,205.941,nan,nan,nan
TotalSecondaryFlow,,,,,,,,86.524,,,,,86.524,nan,nan,nan
snorkel_T,,,,,,,,,778.969,685.34,381.402,,615.237,nan,nan,nan
chimney_T,,,,,,,,,475.536,,,,475.536,nan,nan,nan
Lp,,,,,,,,,1.267,,,,1.267,nan,nan,nan
Li,,,,,,,,,0.033,,,,0.033,nan,nan,nan
Ld,,,,,,,,,2.33,,,,2.33,nan,nan,nan
Cp,,,,,,,,,0.75,,,,0.75,nan,nan,nan
Ci,,,,,,,,,0.5,,,,0.5,nan,nan,nan
Cd,,,,,,,,,1,,,,1,nan,nan,nan
8speed,,,,,,,,,425,,,,425,nan,nan,nan
Step,,,,,,,,,100,,,,100,nan,nan,nan
Zone,,,,,,,,,1,,,,1,nan,nan,nan
Charcoal_Detected,,,,,,,,,nan,,,,nan,nan,nan,nan
gain,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow1_velocity,,,,,,,,,13.336,,,,13.336,nan,nan,nan
Flow2_velocity,,,,,,,,,9.581,,,,9.581,nan,nan,nan
Flow3_velocity,,,,,,,,,8.619,,,,8.619,nan,nan,nan
Flow4_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow6_velocity,,,,,,,,,nan,,,,nan,nan,nan,nan
Flow8_velocity,,,,,,,,,0.208,,,,0.208,nan,nan,nan
Chimney_T,,,,,,,,,,558.66,386.991,,472.825,nan,nan,nan
snorkel-chim,,,,,,,,,,124.043,,,124.043,nan,nan,nan
body_temp,,,,,,,,,,329.336,,,329.336,nan,nan,nan
ave_temp,,,,,,,,,,529.436,,,529.436,nan,nan,nan
weight1,,,,,,,,,,,,259.138,259.138,nan,nan,nan
weight2,,,,,,,,,,,,10.79,10.79,nan,nan,nan
STC1,,,,,,,,,,,,364.018,364.018,nan,nan,nan
STC2,,,,,,,,,,,,204.411,204.411,nan,nan,nan
STC3,,,,,,,,,,,,310.428,310.428,nan,nan,nan
STC4,,,,,,,,,,,,420.159,420.159,nan,nan,nan
confidence,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,nan,nan,nan,nan
time,#units:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seconds,s,2071.438,894.592,975.832,132.587,1333.482,11667.814,981.84,2452.721,957.57,8675.867,4322.445,3133.29,nan,nan,nan
CO,ppm,14.469,17.34,13.888,24.724,88.658,261.392,84.389,6.288,21.018,33.315,14.618,52.736,nan,nan,nan
CO2,ppm,210.438,125.51,149.11,1340.019,117.273,754.942,784.265,65.019,390.327,198.531,56.131,381.051,nan,nan,nan
CObkg,,0.865,,,2.299,,,,,,nan,0.643,1.269,nan,nan,nan
COhi,,585.816,,,828.472,,,,,,nan,738.38,717.556,nan,nan,nan
PM,Mm^-1,196.297,327.402,106.541,4299.94,54.678,9962.292,146.816,1.641,102.72,227.02,60.244,1407.781,nan,nan,nan
CO2bkg,,0.386,,,0.08,,,,,,nan,0.218,0.228,nan,nan,nan
CO2hi,,10823.403,,,29987.885,,,,,,nan,16852.266,19221.185,nan,nan,nan
O2,,1.784,,,4.344,,,,,,nan,0.994,2.374,nan,nan,nan
Flow,mmH2O,0.748,0.088,0.084,0.125,0.102,8.197,0.625,0.175,2.385,0.524,0.261,1.21,nan,nan,nan
dP2,mmH2O,0.056,,0.013,0.125,1.123,3.491,0.005,0.027,0.076,0.004,nan,0.547,nan,nan,nan
DilFlow,,138.785,,,1900.786,,,,,,nan,247.705,762.425,nan,nan,nan
FiltFlow,,1465.349,,,3161.198,,,,,,nan,2.031,1542.859,nan,nan,nan
SampFlow,,630.348,,,303.095,,,,,,nan,74.785,336.076,nan,nan,nan
USampFlow,,881.621,,,15.251,,,,,,nan,119.348,338.74,nan,nan,nan
FLUEtemp,degC,3.459,2.901,1.423,19.671,0.986,1.326,5.16,2.906,2.526,2.776,3.014,4.195,nan,nan,nan
AmbPres,,5.773,,,,nan,8.545,nan,nan,nan,nan,2525.859,846.726,nan,nan,nan
H2Otemp,degC,27805.551,0,6.111,0,1.478,4.259,2.21,3.242,65.999,38502.853,0,6035.609,nan,nan,nan
RH,%,3.584,6.252,1.684,7.924,4.548,21.358,6.606,8.56,3.498,7.333,4.722,6.915,nan,nan,nan
TCnoz,,47.372,,,15.961,,,,,,nan,9.29,24.208,nan,nan,nan
TC4,,5.054,,,95.116,20.342,nan,nan,15.893,nan,nan,1.57,27.595,nan,nan,nan
TC5,,4.602,,,12.818,17.71,0.621,nan,nan,nan,nan,1.545,7.459,nan,nan,nan
TC6,,4.688,,,12.514,26.526,2.871,2.622,4.394,1.512,nan,1.523,7.081,nan,nan,nan
TC7,,5.24,,,13.005,nan,3.46,nan,nan,nan,nan,1.557,5.816,nan,nan,nan
TC8,,5.163,,,12.724,nan,1.107,nan,nan,nan,nan,1.551,5.136,nan,nan,nan
COtemp,,2.978,,,24.492,0.965,0.732,2.187,3.468,1.417,nan,3.052,4.911,nan,nan,nan
BattV,,0.005,,,0.071,,,,,,nan,0.009,0.028,nan,nan,nan
StakVel,,37.077,,,19.729,,,,,,nan,11.301,22.702,nan,nan,nan
NozVel,,11249.116,,,9489.993,,,,,,nan,1527.774,7422.294,nan,nan,nan
CO_ECtemp,degC,15.786,1.511,1.065,,,,,,7.599,1.246,,5.441,nan,nan,nan
DilRat,,0.109,,,0.103,,,,,,nan,1.265,0.492,nan,nan,nan
datenumbers,date,242.717,2.61,2.689,22.055,6.282,6.599,21.884,5.881,7.775,212.931,22.257,50.335,nan,nan,nan
phase,text,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COmass,gm^-3,0.016,0.02,0.015,0.049,0.098,0.281,0.089,0.007,0.023,0.036,0.016,0.059,nan,nan,nan
CO2mass,gm^-3,0.358,0.215,0.243,2.576,,1.339,,,1.268,0.341,0.096,0.804,nan,nan,nan
PMmass,gm^-3,0.001,0.001,0,0.027,0.001,0.121,0.004,0.007,0.001,0.001,0.001,0.015,nan,nan,nan
Cmass,gm^-3,0.094,0.053,0.067,0.723,0.048,0.246,0.197,0.06,0.144,0.102,0.027,0.16,nan,nan,nan
MCE,mol/mol,0.046,0.036,0.013,0.071,0.027,0.179,0.022,0.005,0.011,0.047,0.023,0.044,nan,nan,nan
MW_duct,g/mol,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
density,gm^-3,13.513,15.34,5.061,152.199,3.674,4.344,19.043,11.095,9.592,12.791,72.248,28.991,nan,nan,nan
Flow_smooth,mmH2O,0.748,0.088,0.084,0.129,,,,nan,2.385,0.524,0.261,0.603,nan,nan,nan
DuctFlow,,1.144,,,nan,,,,,,nan,1.815,1.479,nan,nan,nan
vol_flow_ASTM,,0.081,,,nan,,,,,,nan,0.129,0.105,nan,nan,nan
mass_flow_ASTM,,98.507,,,nan,,,,,,nan,152.958,125.733,nan,nan,nan
mole_flow_ASTM,,3.397,,,nan,,,,,,nan,5.274,4.335,nan,nan,nan
totvol_ASTM,,1292.319,,,nan,,,,,,nan,1998.566,1645.443,nan,nan,nan
CO_ER_ASTM,,0.022,,,nan,,,,,,nan,0.013,0.017,nan,nan,nan
CO2_ER_ASTM,,0.344,,,nan,,,,,,nan,0.096,0.22,nan,nan,nan
PM_ER_ASTM,,0.001,,,nan,,,,,,nan,0,0.001,nan,nan,nan
C_ER_ASTM,,0.086,,,nan,,,,,,nan,0.027,0.056,nan,nan,nan
CO_ER_min_ASTM,,1.312,,,nan,,,,,,nan,0.783,1.048,nan,nan,nan
CO2_ER_min_ASTM,,20.607,,,nan,,,,,,nan,5.761,13.184,nan,nan,nan
PM_ER_min_ASTM,,0.093,,,nan,,,,,,nan,0.019,0.056,nan,nan,nan
CO_ER_hr_ASTM,,78.728,,,nan,,,,,,nan,46.985,62.856,nan,nan,nan
CO2_ER_hr_ASTM,,1236.402,,,nan,,,,,,nan,345.689,791.046,nan,nan,nan
PM_ER_hr_ASTM,,5.609,,,nan,,,,,,nan,1.159,3.384,nan,nan,nan
CO_EF_ASTM,,172.123,,,nan,,,,,,nan,52.434,112.278,nan,nan,nan
CO2_EF_ASTM,,270.444,,,nan,,,,,,nan,82.385,176.415,nan,nan,nan
PM_EF_ASTM,,8.51,,,nan,,,,,,nan,1.393,4.952,nan,nan,nan
mass_flow,g/sec,36.524,5.992,4.818,43.109,1.051,63.423,5.277,2.198,70.762,20.651,23.358,25.197,nan,nan,nan
vol_flow,m^3/sec,0.03,0.005,0.003,0.031,0.001,0.058,0.005,0.001,0.059,0.022,0.022,0.022,nan,nan,nan
mole_flow,mol/sec,1.259,0.207,0.167,1.487,0.036,2.188,0.182,0.075,2.44,0.712,0.805,0.869,nan,nan,nan
totvol,m^3,626.446,243.095,251.344,142.145,106.409,1213.276,111.687,216.612,372.032,2095.638,1092.05,588.249,nan,nan,nan
CO_ER,g/sec,0.004,0.006,0.003,0.009,0.009,0.027,0.018,0.002,0.004,0.007,0.006,0.009,nan,nan,nan
CO2_ER,g/sec,0.124,0.111,0.116,1.179,,0.054,,,0.656,0.184,0.045,0.309,nan,nan,nan
PM_ER,g/sec,0.001,0.001,0,0.013,0,0.018,0.001,0.001,0,0,0,0.003,nan,nan,nan
C_ER,g/sec,0.03,0.005,0.007,0.232,0.022,0.018,0.104,0.011,0.026,0.026,0.006,0.044,nan,nan,nan
CO_ER_min,g/min,0.265,0.349,0.172,0.554,0.581,1.527,1.047,0.124,0.207,0.449,0.37,0.513,nan,nan,nan
CO2_ER_min,g/min,7.43,6.662,6.946,70.767,,3.134,,,39.386,11.024,2.705,18.507,nan,nan,nan
PM_ER_min,g/min,0.015,0.018,0.008,0.536,0.006,0.969,0.022,0.034,0.006,0.013,0.009,0.149,nan,nan,nan
CO_ER_hr,g/hr,15.898,20.994,10.27,33.26,34.856,91.674,62.838,7.379,12.428,26.95,22.242,30.799,nan,nan,nan
CO2_ER_hr,g/hr,445.808,399.714,416.71,4246.129,,187.987,,,2363.143,661.434,162.326,1110.406,nan,nan,nan
PM_ER_hr,g/hr,0.867,1.074,0.521,32.104,0.386,58.23,1.364,2.025,0.388,0.78,0.524,8.933,nan,nan,nan
CO_EF,g/kg_C,39.501,35.713,36.929,119.211,49.925,116.8,15.935,10.525,17.644,52.759,37.118,48.369,nan,nan,nan
CO2_EF,g/kg_C,167.495,134.801,52.403,256.226,,656.102,,,465.946,174.119,82.385,248.685,nan,nan,nan
PM_EF,g/kg_C,1.494,1.89,0.465,40.68,0.412,62.552,1.145,0.212,0.28,1.803,0.909,10.167,nan,nan,nan
firepower_carbon,W,1152.955,980.031,1172.734,12286.477,282.807,672.728,1184.984,365.137,539.15,2039.105,465.426,1921.958,nan,nan,nan
CO_totmass,g,81.863,63.062,42.113,165.218,32.141,642.28,58.056,24.946,38.19,179.38,112.787,130.912,nan,nan,nan
CO2_totmass,g,863.614,316.792,219.379,5389.821,,5049.868,,,63.132,1168.879,761.848,1729.167,nan,nan,nan
PitotVel,,0.058,,,nan,,nan,,0.487,,,nan,0.273,nan,nan,nan
StackDensity,,31.68,,15.579,nan,,nan,,33.523,nan,44.23,nan,31.253,nan,nan,nan
Re,,908.387,,,,,,,,,,nan,908.387,nan,nan,nan
Viscocity,,0,,,,,,,,,,nan,0,nan,nan,nan
Cprofile,,0.004,,,,,,,,,,nan,0.004,nan,nan,nan
StackFlow,,0,,,nan,,nan,,0.009,,,nan,0.004,nan,nan,nan
MassFlow,,1.665,,,nan,,nan,,5.924,,,nan,3.795,nan,nan,nan
EnergyFlow,,88.937,,,nan,,nan,,608.216,,,nan,348.577,nan,nan,nan
StackUsefulpower,,281.308,,,nan,,nan,,686.689,,,nan,483.998,nan,nan,nan
StackThermalEfficiency,,10.393,,,nan,,nan,,10.304,,,nan,10.349,nan,nan,nan
PM_totmass,g,5.467,7.075,3.874,43.81,0.606,460.29,4.642,18.312,2.45,4.104,2.989,50.329,nan,nan,nan
File Index,,0,,,nan,,,,,,,nan,0,nan,nan,nan
Sample #,,53.668,,,nan,,,,,,,nan,53.668,nan,nan,nan
11.5,,407.658,,,nan,,,,,,,nan,407.658,nan,nan,nan
15.4,,1053.264,,,nan,,,,,,,nan,1053.264,nan,nan,nan
20.5,,863.585,,,nan,,,,,,,nan,863.585,nan,nan,nan
27.4,,2158.874,,,nan,,,,,,,nan,2158.874,nan,nan,nan
36.5,,7079.174,,,nan,,,,,,,nan,7079.174,nan,nan,nan
48.7,,16477.97,,,nan,,,,,,,nan,16477.97,nan,nan,nan
64.9,,23208.069,,,nan,,,,,,,nan,23208.069,nan,nan,nan
86.6,,21746.437,,,nan,,,,,,,nan,21746.437,nan,nan,nan
115.5,,13863.61,,,nan,,,,,,,nan,13863.61,nan,nan,nan
154,,3096.405,,,nan,,,,,,,nan,3096.405,nan,nan,nan
205.4,,2854.648,,,nan,,,,,,,nan,2854.648,nan,nan,nan
273.8,,1188.878,,,nan,,,,,,,nan,1188.878,nan,nan,nan
365.2,,383.188,,,nan,,,,,,,nan,383.188,nan,nan,nan
Total Conc,,86294.713,,,nan,,,,,,,nan,86294.713,nan,nan,nan
Median (nm),,63.851,,,nan,,,,,,,nan,63.851,nan,nan,nan
Mean (nm),,61.275,,,nan,,,,,,,nan,61.275,nan,nan,nan
Geo Mean (nm),,59.4,,,nan,,,,,,,nan,59.4,nan,nan,nan
Mode (nm),,58.172,,,nan,,,,,,,nan,58.172,nan,nan,nan
GSD,,0.076,,,nan,,,,,,,nan,0.076,nan,nan,nan
Particle Density (g/cc),,0,,,nan,,,,,,,nan,0,nan,nan,nan
Firmware Version,,0,,,nan,,,,,,,nan,0,nan,nan,nan
ID,NAN,1698.813,0,0,0,0,0,0,0,0,2352.775,0,368.326,nan,nan,nan
PWM1,10_bit_PWM,9.603,121.041,,nan,62.524,,89.804,9.204,nan,14.321,31.698,48.314,nan,nan,nan
PWM2,10_bit_PWM,22.117,0,,nan,110.415,,72.248,9.232,9.664,nan,35.31,36.998,nan,nan,nan
Flow1,,7.036,0,1.61,0.094,8.586,,16.211,5.883,nan,,5.615,5.629,nan,nan,nan
Flow2,,9.942,0,,0.103,10.825,,9.018,2.642,nan,,12.879,6.487,nan,nan,nan
Flow3,,9.661,0,,,12.362,,8.272,2.572,nan,,,6.573,nan,nan,nan
Flow4,,11.331,0,,,0,,nan,nan,nan,,,3.777,nan,nan,nan
Flow5,SLPM,677.977,0,,,3.935,,10.728,nan,280.455,18.514,,165.268,nan,nan,nan
Flow6,SLPM,678.042,0,,,3.467,,nan,nan,273.254,6.845,,192.322,nan,nan,nan
Flow7,SLPM,0,,,,3.881,,27.217,3.574,277.019,0.013,,51.951,nan,nan,nan
preCAT_T,degC,191.705,,,,,,,,,93.348,,142.526,nan,nan,nan
PostCAT_T,degC,3.156,,,,,,,,,29.814,,16.485,nan,nan,nan
diff_T,degC,90.692,,,,,,,,21.631,60.996,,57.773,nan,nan,nan
body_T,degC,125.926,,,,,,,,16.514,65.205,,69.215,nan,nan,nan
body_T threshold,degC,0,,,,,,,,0,0,,0,nan,nan,nan
snorkel_T threshold,degC,0,,,,,,,,32.389,0,,10.796,nan,nan,nan
deltaP1,Pa,10.534,0.054,0.786,49.118,0.287,,2.571,0.613,0.977,0.019,3.888,6.885,nan,nan,nan
deltaP2,Pa,9.67,1.831,0.676,7.152,0.542,,0,0.605,3.964,3.284,3.491,3.122,nan,nan,nan
deltaP3,Pa,0.009,,,,,,,,0.883,1.917,,0.936,nan,nan,nan
Lambda,Lambda,106.673,0.516,,0.138,0.305,,0.673,0.009,5.576,22.494,nan,17.048,nan,nan,nan
Kp2,,12.626,0,,,,,,,,,,6.313,-50,8.825,-108.825
Ki2,,7.567,0,,,,,,,,,,3.784,-41.142,56.572,-138.856
Kd2,,nan,nan,,,,,,,,,,nan,nan,nan,nan
o2Setpoint,Lambda,0,,,,,,,,0,0,,0,nan,nan,nan
Scale1,Scale,0,0,0,0,0,,14.951,0,0.304,0,0.447,1.57,nan,nan,nan
Scale2,Scale,27.853,0,0,0,0,,15.648,0,6.756,0,8.797,5.905,nan,nan,nan
mode1,mode,0,0,,nan,2.157,,nan,0.02,nan,0,nan,0.435,nan,nan,nan
mode2,mode,0,0,,nan,0.495,,nan,0.02,0,nan,0.263,0.13,nan,nan,nan
state_press,state,0,0,,nan,,,,,nan,0,0.334,0.084,nan,nan,nan
state_temp,state,nan,,,nan,,,,,0.26,nan,nan,0.26,nan,nan,nan
prev_state_temp,state,nan,,,,,,,,0.563,nan,,0.563,nan,nan,nan
Kp1,P,2.353,0,,,,,,,0,0,,0.588,nan,nan,nan
Ki1,I,0.883,0,,,,,,,0,0,,0.221,nan,nan,nan
Kd1,D,0,nan,,,,,,,0,0,,0,nan,nan,nan
Op,P,0,,,,,,0,0,1.263,0,,0.253,nan,nan,nan
Oi,I,0,,,,,,0,0,0.239,0,,0.048,nan,nan,nan
Od,D,0,,,,,,nan,0.024,0.187,0,,0.053,nan,nan,nan
press_offset,Pa,nan,nan,,0,,,,,3.069,nan,3.174,2.081,nan,nan,nan
PRESSURE_T,Pa,0,,,,,,,,0.431,0,,0.144,nan,nan,nan
PRESSURE_D,Pa,nan,,,,,,,,0.664,nan,,0.664,nan,nan,nan
Tp,P,1.019,0,0,0,,,,,0.379,11.194,0.506,1.871,nan,nan,nan
Ti,I,0.02,0,0,0,,,,,0.014,0.029,0.01,0.01,nan,nan,nan
Td,D,0,nan,nan,nan,,,,,0.009,0,nan,0.003,nan,nan,nan
temp_set,degC,0,,,0,,,,,30.199,146,86.413,52.522,nan,nan,nan
temp_set_start,degC,0,,,,,,,,15.289,69.896,,28.395,nan,nan,nan
temp_set_low,degC,0,,,,,,,,43.689,0,,14.563,nan,nan,nan
temp_control,val,0,nan,,nan,,,,,0.792,0,nan,0.264,nan,nan,nan
DelayTime,min,0,,,,,,,,5.941,0,,1.98,nan,nan,nan
cooledDown,flag,nan,,,,,,,,0.092,nan,,0.092,nan,nan,nan
PrimaryFlow,SLPM,12.563,0,1.61,0.196,8.626,,,12.012,7.18,25.322,13.725,9.026,nan,nan,nan
SecondaryFlow,SLPM,11.206,nan,nan,nan,nan,,,nan,12.757,nan,nan,11.982,nan,nan,nan
TotalFlow,SLPM,1.362,nan,1.61,0.196,8.626,,40.954,12.012,10.624,25.322,17.156,13.096,nan,nan,nan
SenO2Percent,%,9.392,1.664,,0.415,0.382,,,0.17,0.005,0.02,nan,1.721,nan,nan,nan
PWM3,,,55.092,,,111.396,,84.583,9.211,22.982,nan,,56.653,nan,nan,nan
Setpointt,,,18.986,17.664,,,,,,,,,18.325,nan,nan,nan
temp_auto,,,0.094,,,,,,,,,,0.094,nan,nan,nan
autoRoutineStage,,,2.067,,,,,,,,,,2.067,nan,nan,nan
autoTimeCounter,,,11.521,,,,,,,,,,11.521,nan,nan,nan
PWMl,,,,79.105,,,,,,,,,79.105,nan,nan,nan
PWMf,,,,16.309,,,,,,,,,16.309,nan,nan,nan
lambda,,,,26.669,,,,,,,,,26.669,nan,nan,nan
linmode,,,,0.362,,,,,,,,,0.362,nan,nan,nan
fanmode,,,,0.184,,,,,,,,,0.184,nan,nan,nan
linstate,,,,1.886,,,,,,,,,1.886,nan,nan,nan
fanstate,,,,0.094,,,,,,,,,0.094,nan,nan,nan
dampercount,,,,1.295,,,,,,,,,1.295,nan,nan,nan
stepcount,,,,0.416,,,,,,,,,0.416,nan,nan,nan
400count,,,,124.755,,,,,,,,,124.755,nan,nan,nan
500count,,,,5.922,,,,,,,,,5.922,nan,nan,nan
400timer,,,,0.032,,,,,,,,,0.032,nan,nan,nan
500timer,,,,0.061,,,,,,,,,0.061,nan,nan,nan
reload,,,,0,,0.244,,,,,,,0.122,nan,nan,nan
dooropen,,,,0.005,,,,,,,,,0.005,nan,nan,nan
pressurecounter,,,,0.329,,,,,,,,,0.329,nan,nan,nan
reloads,,,,0.976,,,,,,,,,0.976,nan,nan,nan
pot_val,,,,61.625,,,,,,,,,61.625,nan,nan,nan
powerlevel,,,,0.158,,,,,,,,,0.158,nan,nan,nan
load,,,,0,,,,,,,,,0,nan,nan,nan
auto,,,,0,,,,,,,,,0,nan,nan,nan
weight,,,,,0.254,1.271,,,1.221,0.619,,111.042,22.881,nan,nan,nan
tmoStatusCondition_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoOperatingMode_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoCaseHeatTemp_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoCapHeatTemp_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMAFlowMass_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMAAirTubeHeatTemp_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMAFilterLoad_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMAFilterPressure_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMANoise_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMAFrequency_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMBFlowMass_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMBAirTubeHeatTemp_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMBFilterLoad_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMBFrequency_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMBNoise_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoVacPumpPressure_0,,,,,nan,,,,,,,,nan,nan,nan,nan
tmoTEOMAMCRaw_0,,,,,nan,,,,,,,,nan,nan,nan,nan
