time,#units:,,
seconds,s,23513.0,
CO,ppm,21.33193813932111,
CO2,ppm,392.1482084635703,
PM,Mm^-1,60.04991701760993,
Flow,mmH2O,6.374635791443395,
dP2,mmH2O,0.1464098253074566,
FLUEtemp,degC,23.665995151824443,
H2Otemp,degC,79.25526069575572,
RH,%,45.04734200901591,
CO_ECtemp,degC,26.586388959768648,
datenumbers,date,20587.82044560185,
phase,text,,
COmass,gm^-3,0.02395820244198534,
CO2mass,gm^-3,0.6906341685980617,
PMmass,gm^-3,0.0003892685801052141,
Cmass,gm^-3,0.1987415904537947,
MCE,mol/mol,0.9617214535119545,
MW_duct,g/mol,29.0,
density,gm^-3,1159.9427354061434,
Flow_smooth,mmH2O,6.374583129587776,
mass_flow,g/sec,573.6675282207427,
vol_flow,m^3/sec,0.49457414885276785,
mole_flow,mol/sec,19.78163890416354,
totvol,m^3,5824.670138681879,
CO_ER,g/sec,0.005571150041136428,
CO2_ER,g/sec,0.341378852401833,
PM_ER,g/sec,0.00019196567706633764,
C_ER,g/sec,0.0424680328712013,
CO_ER_min,g/min,0.3342690024681872,
CO2_ER_min,g/min,20.48273114410998,
PM_ER_min,g/min,0.005460603512446323,
CO_ER_hr,g/hr,20.056140148091366,
CO2_ER_hr,g/hr,1228.963868646599,
PM_ER_hr,g/hr,0.32763621074677746,
CO_EF,g/kg_C,64.40602948079551,
CO2_EF,g/kg_C,3524.17661690767,
PM_EF,g/kg_C,0.6350613475759107,
firepower_carbon,W,3649.2654942322174,
CO_totmass,g,94.36402215624425,
CO2_totmass,g,3848.767714567642,
PM_totmass,g,1.2777937947578966,
StackDensity,g/m^3,978.3484132821588,
ID,NAN,4001.0,
ID,NAN,4001.0,
PWM1,10_bit_PWM,246.07348813472825,
PWM2,10_bit_PWM,0.0,
Flow5,SLPM,27.309576422556773,
Flow6,SLPM,50.07568427319894,
Flow7,SLPM,-0.01216084035042953,
preCAT_T,degC,453.1954703580845,
PostCAT_T,degC,421.0356791698563,
diff_T,degC,54.76698392447053,
body_T,degC,250.9366062771115,
body_T threshold,degC,400.0,
snorkel_T threshold,degC,680.0,
deltaP1,Pa,0.053766692183380115,
deltaP2,Pa,-10.019945139066088,
deltaP3,Pa,-7.867389214935783,
Lambda,Lambda,180.53442332227607,
o2Setpoint,Lambda,125.0,
Scale1,Scale,1.0,
Scale2,Scale,42.0,
mode1,mode,1.0,
mode2,mode,0.0,
state_press,state,1.0,
state_temp,state,0.0,
prev_state_temp,state,0.0,
Kp1,P,6.0,
Ki1,I,0.5,
Kd1,D,2.0,
Op,P,0.5,
Oi,I,0.04,
Od,D,0.05,
press_offset,Pa,0.0,
PRESSURE_T,Pa,-1.0,
PRESSURE_D,Pa,0.0,
Tp,P,0.5,
Ti,I,0.04,
Td,D,0.05,
temp_set,degC,500.0,
temp_set_start,degC,70.0,
temp_set_low,degC,380.0,
temp_control,val,7.0,
DelayTime,min,0.1,
cooledDown,flag,0.0,
PrimaryFlow,SLPM,77.3730998554053,
SecondaryFlow,SLPM,0.0,
TotalFlow,SLPM,77.3730998554053,
SenO2Percent,%,20.834754821771835,
