All Outputs,units,11.14.25,11.17.25,11.18.25,11.19.25,11.20.25,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
Scale1_hp,Scale,,,,,42.0,42.0,1,nan,nan,nan,nan,nan,nan-nan
Scale2_hp,Scale,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
mode1_hp,mode,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
mode2_hp,mode,,,,,2.0,2.0,1,nan,nan,nan,nan,nan,nan-nan
state_press_hp,state,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
Kp1_hp,P,,,,,2.0,2.0,1,nan,nan,nan,nan,nan,nan-nan
Ki1_hp,I,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
Kd1_hp,D,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Kp2_hp,P,,,,,2.0,2.0,1,nan,nan,nan,nan,nan,nan-nan
Ki2_hp,I,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
Kd2_hp,D,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
press_offset_hp,offset,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Tp_hp,P,,,,,10.8,10.8,1,nan,nan,nan,nan,nan,nan-nan
Ti_hp,I,,,,,0.58,0.58,1,nan,nan,nan,nan,nan,nan-nan
Td_hp,D,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Setpointt_hp,degC,,,,,597.4885844748859,597.489,1,nan,nan,nan,nan,nan,nan-nan
temp_control_hp,val,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
temp_auto_hp,temp_auto,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
autoRoutineStage_hp,stage,,,,,0.9748858447488584,0.975,1,nan,nan,nan,nan,nan,nan-nan
autoTimeCounter_hp,seconds,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
PrimaryFlow_hp,SLPM,,,,,5994.0,5994.0,1,nan,nan,nan,nan,nan,nan-nan
SecondaryFlow_hp,SLPM,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
TotalFlow_hp,SLPM,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
SenO2Percent_hp,%,,,,,13.523781685218738,13.524,1,nan,nan,nan,nan,nan,nan-nan
TC1_lp,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
TC2_lp,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
PWM1_mp,10_bit_PWM,,,,,349.5497807017544,349.55,1,nan,nan,nan,nan,nan,nan-nan
PWM2_mp,10_bit_PWM,,,,,1000.0,1000.0,1,nan,nan,nan,nan,nan,nan-nan
PWM3_mp,14_bit_PWM,,,,,998.4310307017544,998.431,1,nan,nan,nan,nan,nan,nan-nan
Flow1_mp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow2_mp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow3_mp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow4_mp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow5_mp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow6_mp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
STC1_mp,degC,,,,,281.00365679824563,281.004,1,nan,nan,nan,nan,nan,nan-nan
STC2_mp,degC,,,,,379.5583914473684,379.558,1,nan,nan,nan,nan,nan,nan-nan
STC3_mp,degC,,,,,405.31184320175436,405.312,1,nan,nan,nan,nan,nan,nan-nan
STC4_mp,degC,,,,,279.9795263157894,279.98,1,nan,nan,nan,nan,nan,nan-nan
deltaP1_mp,Pa,,,,,-0.041952850877192985,-0.042,1,nan,nan,nan,nan,nan,nan-nan
deltaP2_mp,Pa,,,,,-14.440097587719299,-14.44,1,nan,nan,nan,nan,nan,nan-nan
Lambda_mp,Lambda,,,,,5.099144736842105,5.099,1,nan,nan,nan,nan,nan,nan-nan
Scale1_mp,Scale,,,,,42.0,42.0,1,nan,nan,nan,nan,nan,nan-nan
Scale2_mp,Scale,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
mode1_mp,mode,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
mode2_mp,mode,,,,,2.0,2.0,1,nan,nan,nan,nan,nan,nan-nan
state_press_mp,state,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
Kp1_mp,P,,,,,2.0,2.0,1,nan,nan,nan,nan,nan,nan-nan
Ki1_mp,I,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
Kd1_mp,D,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Kp2_mp,P,,,,,2.0,2.0,1,nan,nan,nan,nan,nan,nan-nan
Ki2_mp,I,,,,,1.0,1.0,1,nan,nan,nan,nan,nan,nan-nan
Kd2_mp,D,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
press_offset_mp,offset,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Tp_mp,P,,,,,10.8,10.8,1,nan,nan,nan,nan,nan,nan-nan
Ti_mp,I,,,,,0.58,0.58,1,nan,nan,nan,nan,nan,nan-nan
Td_mp,D,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Setpointt_mp,degC,,,,,359.7543859649123,359.754,1,nan,nan,nan,nan,nan,nan-nan
temp_control_mp,val,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
temp_auto_mp,temp_auto,,,,,0.007346491228070176,0.007,1,nan,nan,nan,nan,nan,nan-nan
autoRoutineStage_mp,stage,,,,,6.156359649122807,6.156,1,nan,nan,nan,nan,nan,nan-nan
autoTimeCounter_mp,seconds,,,,,21.234649122807017,21.235,1,nan,nan,nan,nan,nan,nan-nan
PrimaryFlow_mp,SLPM,,,,,5994.0,5994.0,1,nan,nan,nan,nan,nan,nan-nan
SecondaryFlow_mp,SLPM,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
TotalFlow_mp,SLPM,,,,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
SenO2Percent_mp,%,,,,,15.578459448977213,15.578,1,nan,nan,nan,nan,nan,nan-nan
TC3_lp,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
TC4_lp,degC,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
Kd2_lp,D,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
press_offset_lp,offset,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Tp_lp,P,10.8,10.8,10.8,,10.8,10.8,4,0.0,0.0,10.8,10.8,0.0,10.8-10.8
Ti_lp,I,0.58,0.58,0.58,,0.58,0.58,4,0.0,0.0,0.58,0.58,0.0,0.58-0.58
Td_lp,D,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Setpointt_lp,degC,364.3153967648821,356.3826913726973,367.3644121184354,,392.3847277279366,370.112,4,15.553,18.301,388.413,351.811,4.202,351.811-388.413
temp_control_lp,val,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
temp_auto_lp,temp_auto,0.1504275366265454,0.1327318891469937,0.0,,0.0,0.142,2,0.013,0.058,0.2,0.084,9.155,0.084-0.2
autoRoutineStage_lp,stage,0.761505364631556,1.4979201555831667,4.375694404673272,,4.568606996314069,2.801,4,1.955,2.3,5.101,0.501,69.797,0.501-5.101
autoTimeCounter_lp,seconds,19.66178312728065,12.193830695262276,12.431017696580952,,63.94742332568329,27.059,4,24.836,29.224,56.283,-2.165,91.785,-2.165-56.283
PrimaryFlow_lp,SLPM,5994.0,5994.0,5994.0,,5994.0,5994.0,4,0.0,0.0,5994.0,5994.0,0.0,5994.0-5994.0
SecondaryFlow_lp,SLPM,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
TotalFlow_lp,SLPM,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
SenO2Percent_lp,%,14.36349019325776,14.425975553593116,13.376671306639485,,14.219361139353207,14.096,4,0.488,0.574,14.67,13.522,3.462,13.522-14.67
variable,units,value,value,value,value,value,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_prebkg,hh:mm:ss,10:05:29,13:12:05,13:46:17,13:26:20,09:40:30,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_prebkg,hh:mm:ss,10:15:29,13:22:05,13:56:17,13:36:20,09:50:30,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_postbkg,hh:mm:ss,22:22:15,21:28:52,22:22:00,22:32:00,23:00:07,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_postbkg,hh:mm:ss,22:32:15,21:38:52,22:32:00,22:42:00,23:10:07,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_method,,prepostlin,prepostlin,prepostlin,prepostlin,prepostlin,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_offset,,0.0,0.0,0.0,0.0,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_prebkg_conc,ppm,0.03504159733777039,0.11472545757071548,-0.06557404326123129,-0.05970049916805325,-0.18059900166389353,-0.031,5,0.112,0.107,0.076,-0.138,-361.29,-0.138-0.076
CO_postbkg_conc,ppm,-0.39474209650582365,-0.12009983361064892,-0.29024958402662226,-0.4183527454242928,1.7009317803660566,0.095,5,0.905,0.863,0.958,-0.768,952.632,-0.768-0.958
CO2_method,,prepostlin,prepostlin,prepostlin,prepostlin,prepostlin,nan,0,nan,nan,nan,nan,nan,nan-nan
CO2_offset,,0.0,0.0,0.0,0.0,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
CO2_prebkg_conc,ppm,621.1181364392679,602.2579034941764,615.6405990016639,606.5440931780366,589.6023294509151,607.033,5,12.241,11.67,618.703,595.363,2.017,595.363-618.703
CO2_postbkg_conc,ppm,592.1963394342762,555.1663893510815,573.4392678868552,551.3261231281198,576.0881863560733,569.643,5,16.656,15.88,585.523,553.763,2.924,553.763-585.523
dateobjects_lp,date,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
PM_method,,prepostlin,prepostlin,prepostlin,prepostlin,prepostlin,nan,0,nan,nan,nan,nan,nan,nan-nan
PM_offset,,0.0,0.0,0.0,0.0,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
PM_prebkg_conc,Mm^-1,4.1763727121464225,5.201331114808652,4.990016638935108,4.89018302828619,4.141430948419301,4.68,5,0.489,0.466,5.146,4.214,10.449,4.214-5.146
PM_postbkg_conc,Mm^-1,3.5490848585690515,3.2895174708818637,4.712146422628952,3.2612312811980035,3.5324459234608985,3.669,5,0.598,0.57,4.239,3.099,16.299,3.099-4.239
