All Outputs,units,11.14.25,11.17.25,11.18.25,11.19.25,11.20.25,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
PM_heat_mass_time_weighted,g/hr,1.9941229130510285,4.262199361928979,3.606650167310688,4.086832315985599,5.437566391525844,3.877,5,1.25,1.192,5.069,2.685,32.241,2.685-5.069
CO_mass_time_weighted,g/min,1.9423258313305194,2.1756449213947358,1.608340661124179,1.8609986236352256,1.8802603563317877,1.894,5,0.203,0.194,2.088,1.7,10.718,1.7-2.088
firepower_carbon_total,W,6574.876514148726,6609.655592329584,7249.83053724218,7567.949162998324,7849.879923416266,7170.438,5,569.019,542.498,7712.936,6627.94,7.936,6627.94-7712.936
PM_total_mass_total,g,11.432620095807557,25.145823639701486,20.136679018419745,21.727110861501224,45.219386185166044,24.732,5,12.519,11.936,36.668,12.796,50.619,12.796-36.668
CO_total_mass_total,g,668.124855415005,770.1373803565616,538.7661762065893,593.6240381572833,938.1727714084361,701.765,5,158.081,150.713,852.478,551.052,22.526,551.052-852.478
PM_heat_mass_time_total,g/hr,1.994158260812404,4.262204675499098,3.606748816673022,4.0868174461259414,5.437745607996718,3.878,5,1.25,1.192,5.07,2.686,32.233,2.686-5.07
PM_mass_time_total,mg/min,33.235971013540066,71.03674459165164,60.11248027788371,68.11362410209902,90.62909346661198,64.626,5,20.827,19.856,84.482,44.77,32.227,44.77-84.482
CO_mass_time_total,g/min,1.9423175214351613,2.175631753914671,1.6083372591867933,1.8609876320307746,1.8802941605540358,1.894,5,0.203,0.194,2.088,1.7,10.718,1.7-2.088
PM_useful_eng_deliver_total,mg/MJd,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_useful_eng_deliver_total,g/MJd,,,,,,nan,0,nan,nan,nan,nan,nan,nan-nan
PM_fuel_dry_mass_total,g/kg,1.4110598610418166,3.016295424268761,2.381412433638944,2.5169258473089338,3.3028891253922055,2.526,5,0.726,0.692,3.218,1.834,28.741,1.834-3.218
time_prebkg,yyyymmdd hh:mm:ss,20251114 10:10:29,20251117 13:17:05,20251118 13:51:17,20251119 13:31:20,20251120 09:45:30,nan,0,nan,nan,nan,nan,nan,nan-nan
seconds_prebkg,s,782.0,842.0,542.0,542.0,751.0,691.8,5,140.607,134.053,825.853,557.747,20.325,557.747-825.853
