time,seconds,ID,PWM1,PWM2,PWM3,Flow1,Flow2,Flow3,Flow4,Flow5,Flow6,TC1,TC2,TC3,TC4,deltaP1,deltaP2,Lambda,Scale1,Scale2,mode1,mode2,state_press,Kp1,Ki1,Kd1,Kp2,Ki2,Kd2,press_offset,Tp,Ti,Td,Setpointt,temp_control,temp_auto,autoRoutineStage,autoTimeCounter,PrimaryFlow,SecondaryFlow,TotalFlow,SenO2Percent
yyyymmdd HH:MM:SS,s,NAN,10_bit_PWM,10_bit_PWM,14_bit_PWM,SLPM,SLPM,SLPM,SLPM,SLPM,SLPM,degC,degC,degC,degC,Pa,Pa,Lambda,Scale,Scale,mode,mode,state,P,I,D,P,I,D,offset,P,I,D,degC,val,temp_auto,stage,seconds,SLPM,SLPM,SLPM,%
11/19/25 14:24,0,4001,0,0,0,999,999,999,999,999,999,11.69,10.44,11.44,11.88,9999,9999,11,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,18.93819835
11/19/25 14:24,1,4001,0,0,0,999,999,999,999,999,999,11.44,10.44,10.63,11.63,0,0.05,0.59,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,2,4001,0,0,0,999,999,999,999,999,999,11.44,10.69,10.63,11.63,0.01,0.04,0.59,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,3,4001,0,0,0,999,999,999,999,999,999,11.44,11.56,11.12,11.69,0.02,0,0.59,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,4,4001,0,0,0,999,999,999,999,999,999,11.44,12,11.12,11.69,0,-0.01,0.59,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,5,4001,0,0,0,999,999,999,999,999,999,11.44,12,11.06,11.75,-0.02,0.03,0.59,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,6,4001,0,0,0,999,999,999,999,999,999,11.44,11.25,11.12,11.75,0,0.05,0.59,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,7,4001,0,0,0,999,999,999,999,999,999,11.5,11.25,11.12,11.75,0.01,0.07,0.59,42,42,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,8,4001,0,0,0,999,999,999,999,999,999,11.5,11.69,11,11.75,0.01,0.06,0.59,42,1,0,0,0,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,9,4001,0,0,0,999,999,999,999,999,999,11.5,11.81,11,11.75,0.01,0.07,0.59,42,1,0,0,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,10,4001,80,80,0,999,999,999,999,999,999,11.5,11.69,10.94,11.75,0.02,0.05,0.59,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:24,11,4001,80,80,0,999,999,999,999,999,999,11.5,11.69,10.94,11.75,0.01,0.08,0.59,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:25,12,4001,80,80,0,999,999,999,999,999,999,11.5,11.75,11.19,11.75,0,0.05,0.59,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-13.02565949
11/19/25 14:25,13,4001,80,80,0,999,999,999,999,999,999,11.5,12.19,11.19,11.81,-0.01,0.13,0.62,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-11.54757805
11/19/25 14:25,14,4001,80,80,0,999,999,999,999,999,999,11.5,12.44,11,11.81,0,0.04,0.6,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-12.51825579
11/19/25 14:25,15,4001,80,80,0,999,999,999,999,999,999,11.5,12,11.38,11.81,-0.01,0.06,0.61,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-12.02577834
11/19/25 14:25,16,4001,80,80,0,999,999,999,999,999,999,11.5,11.56,11.38,11.88,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,17,4001,80,80,0,999,999,999,999,999,999,11.56,11.63,11.25,11.88,0,0.06,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,18,4001,80,80,0,999,999,999,999,999,999,11.56,11.81,11.19,11.88,0,0.06,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,19,4001,80,80,0,999,999,999,999,999,999,11.56,12,11.25,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,20,4001,80,80,0,999,999,999,999,999,999,11.56,11.75,11.19,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,21,4001,80,80,0,999,999,999,999,999,999,11.56,11.38,11.31,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,22,4001,80,80,0,999,999,999,999,999,999,11.56,11.38,11.31,11.94,0,0.06,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,23,4001,80,80,0,999,999,999,999,999,999,11.56,11.88,11.31,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,24,4001,80,80,0,999,999,999,999,999,999,11.56,11.88,11.44,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,25,4001,80,80,0,999,999,999,999,999,999,11.56,11.63,11.5,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,26,4001,80,80,0,999,999,999,999,999,999,11.56,11.38,11.31,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,27,4001,80,80,0,999,999,999,999,999,999,11.56,11.56,11.25,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
11/19/25 14:25,28,4001,80,80,0,999,999,999,999,999,999,11.56,12.06,11.31,11.94,0,0.05,0.64,42,1,1,2,1,2,1,0,2,1,0,0,10.8,0.58,0,500,0,0,0,0,5994,0,0,-10.63159553
