# Timestamp: 20260520095012
#version: SB4003.19
#enabled DS3231 square wave timing
#reading eemem...............................................................#done
#testing sensor coms 
#ch 25 AmbTemp disabled
#ch 26 AmbPres disabled
#ch 27 AmbRH disabled
#ch 28 AS1_415nm disabled
#ch 29 AS1_445nm disabled
#ch 30 AS1_480nm disabled
#ch 31 AS1_515nm disabled
#ch 32 AS1_555nm disabled
#ch 33 AS1_590nm disabled
#ch 34 AS1_630nm disabled
#ch 35 AS1_680nm disabled
#ch 36 AS1_CLEAR disabled
#ch 37 AS1_NIR disabled
#ch 38 AS2_415nm disabled
#ch 39 AS2_445nm disabled
#ch 40 AS2_480nm disabled
#ch 41 AS2_515nm disabled
#ch 42 AS2_555nm disabled
#ch 43 AS2_590nm disabled
#ch 44 AS2_630nm disabled
#ch 45 AS2_680nm disabled
#ch 46 AS2_CLEAR disabled
#ch 47 AS2_NIR disabled
#ch 48 AS3_415nm disabled
#ch 49 AS3_445nm disabled
#ch 50 AS3_480nm disabled
#ch 51 AS3_515nm disabled
#ch 52 AS3_555nm disabled
#ch 53 AS3_590nm disabled
#ch 54 AS3_630nm disabled
#ch 55 AS3_680nm disabled
#ch 56 AS3_CLEAR disabled
#ch 57 AS3_NIR disabled
#channels tested OK: 30
# num inputs: 63
#headers:
#A:,nan,4003,0.1844500,1.0008200,1.0000000,0.0004800,0.0242200,0.0238300,1.0000000,0.0004800,0.0004800,1.0000000,0.0937100,1.0000000,1.0000000,0.0038100,0.0038100,0.0038100,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.0048400,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.0001160,0.0001271,0.0000766,0.5933700,nan
#B:,nan,4003,-8563.0,-44.4,-201.0,-1521.0,-132.0,-92.0,0.0,-11892.0,-12128.0,0.0,-1177.0,-1781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3897.9,3129.4,-281.0,-1138.9,nan
#C:,nan,4003,AGAIN1,AGAIN2,AGAIN3,ASTEP1,ASTEP2,ASTEP3,ATIME1,ATIME2,ATIME3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,4003,16.000,16.000,16.000,299.000,299.000,299.000,29.000,29.000,29.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,ppm,lambda
time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,CO2v,O2_ave
20260520 09:50:41,17,4003,-3.32,614,0,-0.066,14.77,14.04,58.7,0.02,-0.03,15,22.96,219,14.50,16.15,15.94,16.20,15.50,nan,nan,nan,nan,-52.94,nan,14.88,-0.673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,548.927,0.326
20260520 09:50:42,18,4003,-3.14,617,0,-0.064,14.77,14.04,58.8,0.02,-0.03,15,22.96,219,14.50,16.15,15.94,16.20,15.69,nan,nan,nan,nan,-53.12,nan,14.88,-0.654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,545.366,0.326
20260520 09:50:43,19,4003,-2.95,622,0,-0.061,14.80,14.04,58.8,0.02,-0.03,15,22.96,219,14.50,16.15,15.95,16.20,15.44,nan,nan,nan,nan,-53.31,nan,14.88,-0.663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,545.960,0.326
20260520 09:50:44,20,4003,-2.95,629,0,-0.054,14.80,14.06,58.9,0.03,-0.03,15,22.96,219,14.50,16.16,15.95,16.20,15.75,nan,nan,nan,nan,-53.31,nan,14.88,-0.630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,549.520,0.326
20260520 09:50:45,21,4003,-2.77,629,0,-0.068,14.77,14.04,58.9,0.02,-0.03,15,22.87,219,14.50,16.15,15.94,16.20,15.25,nan,nan,nan,nan,-52.69,nan,14.94,-0.644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,549.520,0.326
20260520 09:50:46,22,4003,-2.58,633,0,-0.070,14.80,14.06,59.0,0.02,-0.03,15,22.87,118,14.50,16.16,15.94,16.19,15.69,nan,nan,nan,nan,-52.69,nan,14.69,-0.644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,545.960,0.326
20260520 09:50:47,23,4003,-2.58,634,0,-0.068,14.80,14.06,59.1,0.02,-0.03,15,22.87,118,14.50,16.16,15.95,16.20,15.44,nan,nan,nan,nan,-52.44,nan,14.88,-0.712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,545.366,0.326
20260520 09:50:48,24,4003,-2.40,636,1,-0.069,14.80,14.06,59.1,0.03,-0.03,15,22.87,118,14.50,16.17,15.95,16.20,15.25,nan,nan,nan,nan,-52.44,nan,14.94,-0.707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,548.927,0.326
20260520 09:50:49,25,4003,-2.03,636,0,-0.061,14.80,14.06,59.2,0.03,-0.03,15,22.87,118,14.50,16.17,15.95,16.20,15.44,nan,nan,nan,nan,-53.31,nan,14.88,-0.712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,551.300,0.326
20260520 09:50:50,26,4003,-2.03,634,0,-0.062,14.80,14.04,59.2,0.02,-0.03,15,22.87,118,14.50,16.16,15.95,16.20,15.50,nan,nan,nan,nan,-53.31,nan,14.88,-0.707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,548.333,0.326
20260520 09:50:51,27,4003,-2.03,638,0,-0.066,14.80,14.04,59.2,0.02,-0.03,15,22.77,68,14.50,16.17,15.94,16.20,15.75,nan,nan,nan,nan,-53.12,nan,14.75,-0.702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,545.960,0.326
20260520 09:50:52,28,4003,-2.03,640,0,-0.068,14.80,14.04,59.3,0.03,-0.03,15,22.87,68,14.50,16.17,15.95,16.20,15.44,nan,nan,nan,nan,-52.88,nan,14.94,-0.712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,556.640,0.326
20260520 09:50:53,29,4003,-1.84,640,1,-0.060,14.82,14.04,59.3,0.03,-0.03,15,22.77,68,14.50,16.18,15.95,16.21,15.44,nan,nan,nan,nan,-52.88,nan,14.94,-0.547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,559.607,0.326
20260520 09:50:54,30,4003,-1.66,645,1,-0.063,14.80,14.06,59.3,0.02,-0.03,15,22.77,68,14.50,16.17,15.95,16.20,15.75,nan,nan,nan,nan,-53.00,nan,14.94,-0.557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,556.047,0.326
20260520 09:50:55,31,4003,-1.66,652,0,-0.073,14.80,14.06,59.4,0.02,-0.03,15,22.77,68,14.50,16.17,15.94,16.20,15.75,nan,nan,nan,nan,-52.88,nan,14.88,-0.557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,553.080,0.326
20260520 09:50:56,32,4003,-1.48,657,1,-0.071,14.80,14.06,59.4,0.02,-0.03,15,22.77,68,14.50,16.18,15.95,16.20,15.69,nan,nan,nan,nan,-52.69,nan,14.88,-0.552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,555.454,0.326
20260520 09:50:57,33,4003,-1.48,659,1,-0.063,14.80,14.06,59.4,0.03,-0.03,15,22.77,33,14.50,16.18,15.96,16.21,15.44,nan,nan,nan,nan,-52.69,nan,14.94,-0.552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,557.827,0.326
20260520 09:50:58,34,4003,-1.29,662,0,-0.063,14.80,14.06,59.5,0.03,-0.03,15,22.77,33,14.50,16.19,15.95,16.20,15.75,nan,nan,nan,nan,-53.31,nan,15.12,-0.499,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,555.454,0.326
20260520 09:50:59,35,4003,-1.29,665,1,-0.069,14.80,14.06,59.5,0.02,-0.03,15,22.68,33,14.50,16.18,15.95,16.20,15.75,nan,nan,nan,nan,-53.31,nan,14.88,-0.557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,553.080,0.326
