20260610 12:41:40,16,4003,-4.04,642,7,-0.005,18.67,17.25,58.8,0.03,-0.03,18,21.37,219,16.70,18.86,18.68,18.95,17.06,18.12,nan,nan,nan,-50.25,nan,18.38,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,535.872,0.326
20260610 12:41:41,17,4003,-3.86,637,3,0.003,18.67,17.25,58.9,0.03,-0.03,18,21.37,219,16.70,18.86,18.67,18.95,17.06,18.31,nan,nan,nan,-50.25,nan,18.38,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,533.499,0.326
20260610 12:41:42,18,4003,-3.86,640,2,0.009,18.70,17.23,58.9,0.03,-0.03,18,21.27,219,16.70,18.86,18.67,18.94,17.12,18.38,nan,nan,nan,-50.06,nan,18.44,-0.417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,530.532,0.326
20260610 12:41:43,19,4003,-3.67,642,2,0.006,18.70,17.25,59.0,0.03,-0.03,18,21.37,219,16.70,18.87,18.67,18.94,17.12,18.12,nan,nan,nan,-50.19,nan,18.56,-0.412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,532.312,0.326
20260610 12:41:44,20,4003,-3.49,640,8,0.004,18.70,17.25,59.0,0.03,-0.03,18,21.37,219,16.70,18.87,18.68,18.95,17.06,18.38,nan,nan,nan,-50.00,nan,18.44,-0.407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,544.180,0.326
20260610 12:41:45,21,4003,-3.30,645,4,0.006,18.70,17.25,59.1,0.03,-0.03,18,21.37,-181,16.70,18.87,18.67,18.95,17.06,18.38,nan,nan,nan,-50.00,nan,18.38,-0.421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,541.213,0.326
20260610 12:41:46,22,4003,-3.12,650,2,-0.005,18.70,17.25,59.1,0.03,-0.03,18,21.27,-181,16.70,18.87,18.67,18.94,17.31,18.31,nan,nan,nan,-50.00,nan,18.44,-0.421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,546.553,0.326
20260610 12:41:47,23,4003,-2.93,653,8,-0.005,18.70,17.25,59.2,0.03,-0.03,18,21.37,-181,16.70,18.87,18.67,18.95,17.06,18.38,nan,nan,nan,-50.00,nan,18.38,-0.417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,548.333,0.326
20260610 12:41:48,24,4003,-2.93,658,1,-0.010,18.70,17.25,59.2,0.03,-0.03,18,21.37,-181,16.70,18.88,18.67,18.95,17.12,18.38,nan,nan,nan,-50.25,nan,18.44,-0.484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,560.201,0.326
20260610 12:41:49,25,4003,-2.75,660,2,-0.004,18.70,17.25,59.3,0.03,-0.03,18,21.37,-181,16.70,18.87,18.67,18.94,17.31,18.19,nan,nan,nan,-50.25,nan,18.38,-0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,558.421,0.326
