Energy Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
F2Flow_test,sccm,5.217503250975358,1.696486734644568,15.653779038454614,7.523,3,7.259,12.238,19.761,-4.715,96.491,19.761--4.715
SampFlow_test,sccm,1236.816575639352,1239.4276180350773,1291.477487343355,1255.907,3,30.832,51.978,1307.885,1203.929,2.455,1307.885-1203.929
USampFlow_test,sccm,727.5654052882442,724.2239839559259,764.7660981652328,738.852,3,22.505,37.94,776.792,700.912,3.046,776.792-700.912
DilFlow_test,sccm,1451.961478110105,1454.165104141496,1518.4395425658095,1474.855,3,37.761,63.66,1538.515,1411.195,2.56,1538.515-1411.195
Pitot_test,Pa,0.6911687039445106,0.898703522930477,0.636036551649852,0.742,3,0.139,0.234,0.976,0.508,18.733,0.976-0.508
Pamb_test,Pa,97080.31465106198,98391.06306480452,99185.56673009945,98218.981,3,1063.123,1792.271,100011.252,96426.71,1.082,100011.252-96426.71
TCnoz_test,degC,123.04916038144627,126.3919465519739,120.62820114178773,123.356,3,2.894,4.879,128.235,118.477,2.346,128.235-118.477
TC2_test,degC,127.39210446467268,122.5821886628305,117.67074467703239,122.548,3,4.861,8.195,130.743,114.353,3.967,130.743-114.353
COtemp_test,degC,14.224618118769007,17.90077127531054,9.967996122220692,14.031,3,3.97,6.693,20.724,7.338,28.294,20.724-7.338
HCtemp_test,degC,15.611863892502013,19.125511042377628,11.725130156905053,15.488,3,3.702,6.241,21.729,9.247,23.902,21.729-9.247
HCinTemp_test,degC,3393.364846120503,4418.93988305224,2442.3414599116727,3418.215,3,988.534,1666.524,5084.739,1751.691,28.92,5084.739-1751.691
HCoutTemp_test,degC,3478.5376679670567,4503.894843666941,2453.891063157517,3478.775,3,1025.002,1728.004,5206.779,1750.771,29.464,5206.779-1750.771
BattV_test,V,23.98102730818397,23.986183250368104,23.97578004379436,23.981,3,0.005,0.008,23.989,23.973,0.021,23.989-23.973
StakVel_test,m/s,0.9354104898136105,1.1121359880152666,0.8765214893540665,0.975,3,0.123,0.207,1.182,0.768,12.615,1.182-0.768
NozVel_test,m/s,2.4123116601647796,2.374077707437254,2.46321281103011,2.417,3,0.045,0.076,2.493,2.341,1.862,2.493-2.341
PMmass_test,ug,199.15925444299955,201.6365920842797,809.2142113389107,403.337,3,351.502,592.581,995.918,-189.244,87.148,995.918--189.244
DilRat_test,-,17.2984859124404,19.11751413521488,17.752910847007286,18.056,3,0.947,1.597,19.653,16.459,5.245,19.653-16.459
TAPstat_test,-,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0-0.0
TAPspot_test,-,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0-0.0
TAPflow_test,sccm,-248.07800000000373,-248.07800000003323,-248.0779999999596,-248.078,3,0.0,0.0,-248.078,-248.078,-0.0,-248.078--248.078
TAPtemp_test,degC,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,nan,0.0-0.0
drk_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
red_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
grn_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
blu_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
drkref_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
redref_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
grnref_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
bluref_test,raw,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
RedRat_test,-,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
GrnRat_test,-,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
BluRat_test,-,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
RedAbs_test,Mm^-1,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
GrnAbs_test,Mm^-1,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
BluAbs_test,Mm^-1,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
datenumbers_test,date,19437.944114583337,19438.91697916667,19439.976261574076,19438.946,3,1.016,1.713,19440.659,19437.233,0.005,19440.659-19437.233
phase_test,text,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan-nan
COconc_test,gm^-3,0.5010922406989557,0.5693166883730943,0.5397561417344435,0.537,3,0.034,0.057,0.594,0.48,6.331,0.594-0.48
