time,Coal Hea Usage (EXACT 3944),Temperature,seconds
yyyymmdd hhmmss,,C,s
2023-03-22 18:16:00,0.0,0.0,0
2023-03-22 18:17:00,0.0,0.0,60
2023-03-22 18:18:00,0.0,0.0,120
2023-03-22 18:19:00,0.0,0.0,180
2023-03-22 18:20:00,0.0,0.0,240
2023-03-22 18:21:00,0.0,0.0,300
2023-03-22 18:22:00,0.0,0.0,360
2023-03-22 18:23:00,0.0,0.0,420
2023-03-22 18:24:00,0.0,0.0,480
2023-03-22 18:25:00,0.0,0.0,540
2023-03-22 18:26:00,0.0,0.0,600
2023-03-22 18:27:00,0.0,0.0,660
2023-03-22 18:28:00,0.0,0.0,720
2023-03-22 18:29:00,0.0,0.0,780
2023-03-22 18:30:00,0.0,0.0,840
2023-03-22 18:31:00,0.0,0.0,900
2023-03-22 18:32:00,0.0,0.0,960
2023-03-22 18:33:00,0.0,0.0,1020
2023-03-22 18:34:00,0.0,0.0,1080
2023-03-22 18:35:00,0.0,0.0,1140
2023-03-22 18:36:00,0.0,0.0,1200
2023-03-22 18:37:00,0.0,0.0,1260
2023-03-22 18:38:00,0.0,0.0,1320
2023-03-22 18:39:00,0.0,0.0,1380
2023-03-22 18:40:00,0.0,0.0,1440
2023-03-22 18:41:00,0.0,0.0,1500
2023-03-22 18:42:00,0.0,0.0,1560
2023-03-22 18:43:00,0.0,0.0,1620
2023-03-22 18:44:00,0.0,0.0,1680
2023-03-22 18:45:00,0.0,0.0,1740
2023-03-22 18:46:00,0.0,0.0,1800
2023-03-22 18:47:00,0.0,0.0,1860
2023-03-22 18:48:00,0.0,0.0,1920
2023-03-22 18:49:00,0.0,0.0,1980
2023-03-22 18:50:00,0.0,0.0,2040
2023-03-22 18:51:00,0.0,0.0,2100
2023-03-22 18:52:00,0.0,0.0,2160
2023-03-22 18:53:00,0.0,0.0,2220
2023-03-22 18:54:00,0.0,0.0,2280
2023-03-22 18:55:00,0.0,0.0,2340
2023-03-22 18:56:00,0.0,0.0,2400
2023-03-22 18:57:00,0.0,0.0,2460
2023-03-22 18:58:00,0.0,0.0,2520
2023-03-22 18:59:00,0.0,0.0,2580
2023-03-22 19:00:00,0.0,0.0,2640
2023-03-22 19:01:00,0.0,0.0,2700
2023-03-22 19:02:00,0.0,0.0,2760
2023-03-22 19:03:00,0.0,0.0,2820
2023-03-22 19:04:00,0.0,0.0,2880
2023-03-22 19:05:00,0.0,0.0,2940
2023-03-22 19:06:00,0.0,0.0,3000
2023-03-22 19:07:00,0.0,0.0,3060
2023-03-22 19:08:00,0.0,0.0,3120
2023-03-22 19:09:00,0.0,0.0,3180
2023-03-22 19:10:00,0.0,0.0,3240
2023-03-22 19:11:00,0.0,0.0,3300
2023-03-22 19:12:00,0.0,0.0,3360
2023-03-22 19:13:00,0.0,0.0,3420
2023-03-22 19:14:00,0.0,0.0,3480
2023-03-22 19:15:00,0.0,0.0,3540
2023-03-22 19:16:00,0.0,0.0,3600
2023-03-22 19:17:00,1.0,36.0,3660
2023-03-22 19:18:00,1.0,101.0,3720
2023-03-22 19:19:00,1.0,127.0,3780
2023-03-22 19:20:00,1.0,127.0,3840
2023-03-22 19:21:00,1.0,127.0,3900
2023-03-22 19:22:00,1.0,127.0,3960
2023-03-22 19:23:00,1.0,127.0,4020
2023-03-22 19:24:00,1.0,127.0,4080
2023-03-22 19:25:00,1.0,127.0,4140
2023-03-22 19:26:00,1.0,127.0,4200
2023-03-22 19:27:00,1.0,127.0,4260
2023-03-22 19:28:00,1.0,127.0,4320
2023-03-22 19:29:00,1.0,116.0,4380
2023-03-22 19:30:00,1.0,97.0,4440
2023-03-22 19:31:00,1.0,93.0,4500
2023-03-22 19:32:00,1.0,76.0,4560
2023-03-22 19:33:00,1.0,65.0,4620
2023-03-22 19:34:00,1.0,50.0,4680
2023-03-22 19:35:00,1.0,41.0,4740
2023-03-22 19:36:00,1.0,32.0,4800
2023-03-22 19:37:00,1.0,34.0,4860
2023-03-22 19:38:00,1.0,35.0,4920
2023-03-22 19:39:00,1.0,49.0,4980
2023-03-22 19:40:00,1.0,52.0,5040
2023-03-22 19:41:00,1.0,49.0,5100
2023-03-22 19:42:00,1.0,56.0,5160
2023-03-22 19:43:00,1.0,56.0,5220
2023-03-22 19:44:00,1.0,65.0,5280
2023-03-22 19:45:00,1.0,85.0,5340
2023-03-22 19:46:00,1.0,103.0,5400
2023-03-22 19:47:00,1.0,116.0,5460
2023-03-22 19:48:00,1.0,116.0,5520
2023-03-22 19:49:00,1.0,117.0,5580
2023-03-22 19:50:00,1.0,117.0,5640
2023-03-22 19:51:00,1.0,118.0,5700
2023-03-22 19:52:00,1.0,123.0,5760
2023-03-22 19:53:00,1.0,117.0,5820
2023-03-22 19:54:00,1.0,118.0,5880
2023-03-22 19:55:00,1.0,119.0,5940
2023-03-22 19:56:00,1.0,114.0,6000
2023-03-22 19:57:00,1.0,110.0,6060
2023-03-22 19:58:00,1.0,107.0,6120
2023-03-22 19:59:00,1.0,107.0,6180
2023-03-22 20:00:00,1.0,105.0,6240
2023-03-22 20:01:00,1.0,97.0,6300
2023-03-22 20:02:00,1.0,98.0,6360
2023-03-22 20:03:00,1.0,96.0,6420
2023-03-22 20:04:00,1.0,74.0,6480
2023-03-22 20:05:00,1.0,51.0,6540
2023-03-22 20:06:00,1.0,34.0,6600
2023-03-22 20:07:00,1.0,28.0,6660
2023-03-22 20:08:00,1.0,13.0,6720
2023-03-22 20:09:00,1.0,11.0,6780
2023-03-22 20:10:00,0.0,1.0,6840
2023-03-22 20:11:00,0.0,0.0,6900
2023-03-22 20:12:00,0.0,0.0,6960
2023-03-22 20:13:00,0.0,0.0,7020
2023-03-22 20:14:00,0.0,0.0,7080
2023-03-22 20:15:00,0.0,0.0,7140
2023-03-22 20:16:00,0.0,0.0,7200
2023-03-22 20:17:00,0.0,1.0,7260
2023-03-22 20:18:00,0.0,2.0,7320
2023-03-22 20:19:00,1.0,7.0,7380
