time_test,seconds_test,CO_test,ChipTemp_test,PM_test,Flow_test,FlueTemp_test,TC_test,F1Flow_test,DilFlow_test,CO2_test,PM_RH_test,datenumbers_test,phase_test,COconc_test,CO2conc_test,PMconc_test,Cconc_test,MCE_test,CER_CO_test,CER_CO2_test,CER_PM_test,EFmass_CO_test,EFmass_CO2_test,EFmass_PM_test,EFmass_dry_CO_test,EFmass_dry_CO2_test,EFmass_dry_PM_test,EFenergy_CO_test,EFenergy_CO2_test,EFenergy_PM_test,ER_CO_test,ER_CO2_test,ER_PM_test,ER_PM_heat_test,Realtime_conc_PM_test,PM_flowrate_test
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 14:15:15,11037.0,196.22555652360515,31.77216,80.00663090128755,13678.0,27.91296,218.70000000000002,2689.4120000000003,2605.128,2274.005364806867,35.0,19513.59392361111,test,0.22861654134859813,4.162764338393131,1.2529447700798781,1.2340124263965133,0.9205638813646144,0.1852627546192464,3.373356904151264,1.0153421013260375,75.95772939389103,1383.0763307020181,416.29026154367546,92.6313773096232,1686.6784520756319,507.6710506630188,4.922411340411577,89.62972786611485,26.97752974814824,0.5018821244493756,9.13852076236764,2.7505909210067743,0.16503545526040644,1252.9447700798783,0.2158024908155872
20230605 14:15:17,11039.0,193.82210652360513,31.764480000000002,128.54343090128756,13618.0,27.8784,218.8,2694.01,2585.976,2263.005364806867,35.0,19513.593946759258,test,0.2258163534625814,4.142627882942766,2.013055888762597,1.2273166864501945,0.9211087840780929,0.18399191989780317,3.3753536708806715,1.6402090112414422,75.4366871580993,1383.8950050610754,672.4856946089914,91.99595994890159,1687.6768354403357,820.1045056207212,4.888645399397272,89.68278174201772,43.580175919188086,0.49843939668073806,9.143930060800264,4.4433733310005845,0.2666023998600351,2013.0558887625969,0.3467211686579437
20230605 14:15:19,11041.0,191.79634152360515,31.76832,203.17383090128757,13668.0,27.90528,218.70000000000002,2691.084,2584.608,2248.005364806867,35.0,19513.593969907408,test,0.22345619510151019,4.115169080055905,3.181806132531011,1.2188114064792068,0.9213885534115509,0.18333943538238653,3.376378870578047,2.61058119050783,75.16916850677849,1384.3153369369993,1070.3382881082105,91.66971769119327,1688.1894352890233,1305.2905952539152,4.871308956436945,89.71002118702607,69.36285970502304,0.49667179738404926,9.146707356232154,7.072139441262182,0.42432836647573097,3181.806132531011,0.5480223111899238
20230605 14:15:21,11043.0,192.17402652360514,31.764480000000002,273.0722309012876,13931.0,27.88992,218.70000000000002,2691.92,2587.8,2228.005364806867,35.0,19513.593993055554,test,0.22389622462645564,4.078557342873423,4.276450835480776,1.2090090109478506,0.9205951314138084,0.18518987253115948,3.3734714182782444,3.5371538150307766,75.9278477377754,1383.1232814940804,1450.2330641626183,92.59493626557975,1686.7357091391223,1768.5769075153883,4.920474871218676,89.63277049407559,93.98179406147486,0.5016846847790083,9.138830984427369,9.582251299460253,0.5749350779676151,4276.450835480776,0.7365597943222312
20230605 14:15:23,11045.0,195.12683652360514,31.76832,332.5602309012876,13617.0,27.89376,218.8,2688.994,2620.1760000000004,2191.005364806867,35.0,19513.594016203704,test,0.2273364554578476,4.010825629085832,5.208063348629511,1.1920006190679315,0.918224632979344,0.1907184038508388,3.364784854073349,4.369178392459129,78.1945455788439,1379.5617901700732,1791.3631409082432,95.3592019254194,1682.3924270366747,2184.5891962295645,5.067367350064409,89.40196942324368,116.08859703896334,0.5166616349463966,9.115298832450687,11.836229781924505,0.7101737869154703,5208.063348629511,0.8970172267752585
20230605 14:15:25,11047.0,202.19984652360515,31.75296,445.65503090128755,13525.0,27.8976,219.0,2691.5020000000004,2638.416,2139.005364806867,35.0,19513.59403935185,test,0.23557700837955398,3.9156351124113793,6.979185774195232,1.1695571853541589,0.9136342916267908,0.2014241042076261,3.347963794712328,5.967374542769222,82.5838827251267,1372.6651558320546,2446.623562535381,100.71205210381305,1673.981897356164,2983.687271384611,5.351816649933686,88.95503569645872,158.55249578999295,0.545663684763833,9.069730099410153,16.165789065726248,0.9699473439435748,6979.185774195232,1.2020686864274346
20230605 14:15:27,11049.0,213.01537152360513,31.764480000000002,753.5730309012877,13534.0,27.89376,219.4,2688.994,2588.712,2134.005364806867,35.0,19513.5940625,test,0.2481778538666292,3.906482178115759,11.801339180323064,1.1724623510429417,0.9092400982120631,0.21167234380350658,3.3318615089352948,10.065431243762673,86.7856609594377,1366.063218663471,4126.826809942696,105.83617190175329,1665.9307544676474,5032.715621881336,5.624111266893767,88.52719970601198,267.4374188285073,0.573426460238145,9.026108544657404,27.26754239674859,1.6360525438049154,11801.339180323064,2.0326182373632764
20230605 14:15:29,11051.0,226.68070152360514,31.78368,1136.7298309012876,13715.0,27.89376,220.0,2693.592,2579.136,2150.005364806867,35.0,19513.594085648147,test,0.26409892213283853,3.935771567861744,17.80177068546742,1.1872817695584528,0.9046232042443902,0.22243997078389932,3.3149431489421826,14.99372022876074,91.20038802139872,1359.1266910662948,6147.425293791904,111.21998539194966,1657.4715744710913,7496.86011438037,5.91020595045031,88.0776807119626,398.3815238022101,0.6025962710579421,8.980276221409305,40.618418835861675,2.4371051301517004,17801.77068546742,3.0661099727539125
20230605 14:15:31,11053.0,242.23445652360513,31.78368,1561.8662309012877,13635.0,27.88608,220.5,2693.174,2585.976,2139.005364806867,35.0,19513.594108796296,test,0.2822201380237753,3.9156351124113793,24.45962420273151,1.1895566136664437,0.8982738091502848,0.23724817699421488,3.2916761316156564,20.561967309266784,97.27175256762811,1349.5872139624191,8430.406596799383,118.62408849710744,1645.8380658078281,10280.983654633392,6.303658386859446,87.45947857963964,546.3292461149234,0.6427121270884317,8.917245203062219,55.702960140274975,3.3421776084164985,24459.624202731513,4.212833600818788
