variable_name,units,value,unc
CO,ppm,256.44297636632945,0.0
CO2,ppm,4481.794205069449,0.0
PM,%,34.77981400437637,0.0
PM,%,34.77981400437637,0.0
COconc,gm^-3,0.2987740605692099,0.0
CO2conc,gm^-3,8.204313577098628,0.0
PMconc,mgm^-3,20.304960703177628,0.0
Cconc,gm^-3,2.367002821726687,0.0
MCE,mol/mol,0.9458779781284351,0.0
CER_CO,g/g,0.1262246321917181,0.0
CER_CO2,g/g,3.4661190522425,0.0
CER_PM,mg/g,8.578342415479469,0.0
EFmass_CO,g/kg,51.75209919860442,4.080883548462826
EFmass_CO2,g/kg,1421.108811419425,112.06076002523744
EFmass_PM,mg/kg,3517.1203903465826,277.34060958276206
EFmass_dry_CO,g/kg,63.11231609585904,3.1556158047929523
EFmass_dry_CO2,g/kg,1733.05952612125,86.6529763060625
EFmass_dry_PM,mg/kg,4289.171207739734,214.45856038698673
EFenergy_CO,g/MJ,3.353774816836525,0.34230957820590735
EFenergy_CO2,g/MJ,92.09440810183558,9.39979566731855
EFenergy_PM,mg/MJ,227.92562959928603,23.26367463276545
ER_CO,g/min,0.3419461547595886,0.2163751633591976
ER_CO2,g/min,9.38981608639647,5.941645961877528
ER_PM,mg/min,23.238976040183296,14.705055655708142
ER_PM_heat,g/hr,1.3943385624109979,0.8823033393424884
