time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,COconc,CO2conc,PMconc,Cconc,MCE,CER_CO,CER_CO2,CER_PM,EFmass_CO,EFmass_CO2,EFmass_PM,EFmass_dry_CO,EFmass_dry_CO2,EFmass_dry_PM,EFenergy_CO,EFenergy_CO2,EFenergy_PM,ER_CO,ER_CO2,ER_PM,ER_PM_heat,Realtime_conc_PM,PM_flowrate
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,gm^-3,gm^-3,mgm^-3,gm^-3,mol/mol,g/g,g/g,mg/g,g/kg,g/kg,mg/kg,g/kg,g/kg,mg/kg,g/MJ,g/MJ,mg/MJ,g/min,g/min,mg/min,g/hr,mg/m^3,g/hr
20230605 12:37:35,5177.0,86.45656152360515,23.71968,26.940630901287555,13931.0,23.88096,231.10000000000002,2759.2180000000003,2676.72,1912.005364806867,44.0,19513.526099537037,test,0.10072796032580596,3.500091895390211,0.42157729529432586,0.9983385882983985,0.9567384495123434,0.10089558943873946,3.505916666364549,0.42227887435752254,27.31351159780698,949.0890143006162,114.31539273851105,35.52595922862785,1234.4548779692418,148.68699570504864,2.5818861629860694,89.71529657364147,10.805982587445023,2.2265221178350236,77.36711826919506,9.318675463235866,0.5591205277941519,421.57729529432584,0.7554580203473791
20230605 12:37:37,5179.0,85.56385152360515,23.71584,33.90343090128756,13708.0,23.87328,229.9,2758.382,2677.632,1898.005364806867,44.0,19513.526122685184,test,0.09968789053957118,3.474463679362474,0.5305338524896901,0.9908988833525867,0.9568636925703581,0.10060349467978937,3.5063756128244346,0.5354066508730869,27.234438432858713,949.21325599963,144.94028777188691,35.423110862756936,1234.616475847927,188.51998343497766,2.574411550660504,89.72704086812372,13.700886541718061,2.22007629156131,77.37724610976292,11.815132423887608,0.7089079454332565,530.53385248969,0.9507059758740383
20230605 12:37:39,5181.0,85.15183152360515,23.71584,52.358230901287556,14012.0,23.88096,229.0,2756.2920000000004,2684.9280000000003,1873.005364806867,44.0,19513.526145833333,test,0.09920785833053974,3.4286990078843718,0.819321620590024,0.9782042206030221,0.9565143024864515,0.10141835032094038,3.5050952916260387,0.8375772699947526,27.4550285411967,948.8666594031301,226.74109547624442,35.710026558931396,1234.165666858686,294.9161218065505,2.5952634483145274,89.69427785435171,21.433336936339686,2.238058188668586,77.3489925113448,18.483308610546267,1.108998516632776,819.321620590024,1.46820783858062
20230605 12:37:41,5183.0,84.43079652360515,23.73504,117.25423090128754,14020.0,23.86944,228.8,2763.8160000000003,2669.88,1860.005364806867,44.0,19513.52616898148,test,0.09836780196473473,3.4049013787157585,1.8348390468769131,0.9713498299681975,0.956578262530443,0.10126918122583636,3.5053296697722556,1.8889580151951915,27.414646877024634,948.9301080657583,511.3610708140079,35.657503200672465,1234.2481928492957,665.1137656830815,2.5914462584379763,89.70027551684609,48.33783705535807,2.2347663868029737,77.35416467129147,41.68474384152809,2.5010846304916856,1834.839046876913,3.287994608537831
20230605 12:37:43,5185.0,83.98444152360514,23.72736,162.68143090128757,14187.0,23.86944,228.9,2763.8160000000003,2673.5280000000002,1827.005364806867,44.0,19513.52619212963,test,0.09784776707161733,3.3444920123646638,2.5457012452777357,0.9546415872969256,0.9560518631520729,0.10249686204083562,3.503400707520627,2.666656553781516,27.746993160597782,948.4079174217007,721.892355396793,36.08977718630504,1233.5689933452725,938.9462169098654,2.6228622214790027,89.65091398405653,68.23889622870944,2.2618583390225226,77.3115971305138,58.84667338475927,3.530800403085556,2545.701245277736,4.561845347507879
20230605 12:37:45,5187.0,84.39646152360515,23.72736,140.71143090128757,14110.0,23.86944,228.70000000000002,2757.9640000000004,2646.168,1822.005364806867,44.0,19513.52621527778,test,0.09832779928064878,3.335339078069043,2.2019062832535288,0.9523496459714526,0.9557299723710109,0.10324758317135578,3.502221156040649,2.312077599406734,27.950221373240627,948.0886002621716,625.9040526718838,36.35411072579164,1233.1536659952976,814.0967805120896,2.642072937328263,89.62072963544796,59.16533314157201,2.2784249422876153,77.2855672765439,51.02197174194253,3.061318304516552,2201.9062832535287,3.9457717014286158
20230605 12:37:47,5189.0,86.21621652360514,23.746560000000002,121.37783090128755,14124.0,23.86944,228.5,2753.784,2612.4240000000004,1822.005364806867,44.0,19513.526238425926,test,0.10044794153720428,3.335339078069043,1.899366716672226,0.9532587108947382,0.9548185507557815,0.10537322175941391,3.498881300479762,1.9924986731980252,28.52565439811951,947.1844657593183,539.3906306682775,37.102561180704754,1231.9776822566066,701.571069864325,2.6964673552462908,89.53526378994377,50.987409684757324,2.3253326550742934,77.21186472603546,43.96963623792441,2.6381781742754646,1899.366716672226,3.403626892878863
20230605 12:37:49,5191.0,90.09607152360515,23.73504,134.49223090128757,14020.0,23.888640000000002,228.5,2761.308,2646.6240000000003,1831.005364806867,44.0,19513.526261574076,test,0.104968244838917,3.35181435980116,2.1045858632343686,0.9596928871423681,0.9531018665543767,0.10937691239066692,3.4925906034186607,2.1929784949236146,29.609496130935366,945.4815070066861,593.662655503941,38.51228534130639,1229.7626890288996,772.1612513817267,2.7989205298519604,89.37428684548124,56.11762479674192,2.413684443225214,77.07304422633814,48.39374198659712,2.9036245191958274,2104.5858632343684,3.771375469307716
20230605 12:37:51,5193.0,95.79568152360514,23.746560000000002,272.19343090128757,14122.0,23.884800000000002,228.4,2753.366,2650.2720000000004,1841.005364806867,44.0,19513.526284722222,test,0.1116086903971852,3.370120228392401,4.259386902136861,0.9675356817824515,0.9505392246120979,0.11535356524688894,3.4831999396484954,4.402304723573571,31.22743976962735,942.93935422058,1191.7508167927845,40.61670166787657,1226.4561784065377,1550.078640619163,2.951861182622715,89.13398273521915,112.65358291944007,2.545574745358588,76.86581494405003,97.14823899648766,5.82889433978926,4259.386902136861,7.632735521810673
20230605 12:37:53,5195.0,101.73563652360515,23.7504,564.8338309012876,14009.0,23.904,228.5,2758.382,2700.4320000000002,1837.005364806867,44.0,19513.526307870372,test,0.1185291547440551,3.3627978809559043,8.838735796299302,0.9685047930327311,0.9475248955617133,0.12238365323200766,3.4721540927286427,9.12616629249928,33.130559527223184,939.949125711769,2470.5504993857185,43.09203899949139,1222.5668675902446,3213.379429413617,3.1317589065403015,88.8513230126339,233.5357036198326,2.7007118180122625,76.62205976491799,201.3924613982013,12.083547683892078,8838.735796299301,15.838836487586471
