time,seconds,ID,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,GravFlo1,GravFlo2,COtemp,VOC,CH4,CH4temp,Ctemp1,Ctemp2,Ctemp3,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,dP2,AmbTemp,AmbPres,AmbRH,AS1_415nm,AS1_445nm,AS1_480nm,AS1_515nm,AS1_555nm,AS1_590nm,AS1_630nm,AS1_680nm,AS1_CLEAR,AS1_NIR,AS2_415nm,AS2_445nm,AS2_480nm,AS2_515nm,AS2_555nm,AS2_590nm,AS2_630nm,AS2_680nm,AS2_CLEAR,AS2_NIR,AS3_415nm,AS3_445nm,AS3_480nm,AS3_515nm,AS3_555nm,AS3_590nm,AS3_630nm,AS3_680nm,AS3_CLEAR,AS3_NIR,O2_1,O2_2,O2_3,O2_4,O2_ave,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
#units:,s,4003,ppm,ppm,Mm^-1,mmH2O,degC,degC,%,lpm,lpm,degC,ppm,ppm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,mmH2O,degC,hPa,%,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,lambda,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230711 11:42:41,8902.0,4003.0,228.84988986784143,5324.145374449339,62.34361233480176,15.452,46.55,24.35,52.2,-0.01,16.28,28.0,2.954140969162985,0.0,28.8,31.45,30.88,30.52,302.19,503.88,nan,nan,nan,-38.38,nan,nan,0.279,27.4,991.56,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.294,0.019,0.025,-0.001,0.83425,19549.487974537038,lp,0.2387676484470995+/-0,8.727963863034137+/-0,0.0006575417700633403+/-0,0.9587880271862644,29.0,1080.2136565214157+/-0,210.0040958432183,7.241520546317872,0.19440977678387172,1.9379382549584254,0.04641876523781057,1.6968015063901654,0.0001278325487440859,0.4632281927115765,16.961407687806787,0.0013564841936810975
20230711 11:42:42,8903.0,4003.0,228.63988986784142,5317.145374449339,68.34361233480176,15.546,46.55,24.35,52.2,-0.02,16.27,28.0,2.894140969162983,0.0,28.8,31.44,30.87,30.51,302.0,504.19,nan,nan,nan,-38.31,nan,nan,0.263,27.4,991.56,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.284,0.019,0.025,-0.001,0.83175,19549.48798611111,lp,0.2385485475936849+/-0,8.716488641614669+/-0,0.0007208241252658749+/-0,0.9587723146550657,29.0,1080.2136565214157+/-0,210.64189205207822,7.26351351903718,0.1950002120232426,2.1329384669816682,0.04651701735860514,1.6997171332130463,0.000140560857258314,0.5097452100701816,18.661124821019833,0.0014970450509394113
20230711 11:42:43,8904.0,4003.0,228.50988986784142,5312.145374449339,63.34361233480176,16.163,46.55,24.35,52.2,-0.11,16.26,28.0,2.894140969162983,0.0,28.7,31.43,30.86,30.5,302.25,503.69,nan,nan,nan,-38.38,nan,nan,0.26,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.282,0.019,0.025,-0.001,0.83125,19549.487997685184,lp,0.23841291373204726+/-0,8.708292054886476+/-0,0.0006680888292637629+/-0,0.9587576055598538,29.0,1080.2136565214157+/-0,214.78126794122255,7.406250618662846,0.1988322093916838,2.331770676373352,0.04740416638485187,1.7314889493011243,0.0001328375779924174,0.5571493764550335,20.392613770320956,0.0016298826289318287
20230711 11:42:44,8905.0,4003.0,228.57988986784142,5312.145374449339,57.34361233480176,15.249,46.58,24.38,52.2,0.19,16.27,28.0,2.894140969162983,0.0,28.7,31.44,30.87,30.51,302.19,503.88,nan,nan,nan,-38.12,nan,nan,0.265,27.4,991.57,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.276,0.019,0.025,-0.001,0.82975,19549.488009259258,lp,0.23846357041174657+/-0,8.707474963085126+/-0,0.0006048064740612281+/-0,0.9587454928798007,29.0,1080.1123009723724+/-0,208.6102876453349,7.193458194666721,0.19313759083896484,2.524908267212317,0.04605627949218259,1.6817407366608654,0.00011681086532399448,0.6032056559472161,22.074354506981823,0.0017466934942558232
20230711 11:42:45,8906.0,4003.0,228.50988986784142,5312.145374449339,63.34361233480176,15.554,46.58,24.38,52.2,-0.05,16.27,28.0,2.894140969162983,0.0,28.7,31.45,30.88,30.52,302.0,504.19,nan,nan,nan,-38.12,nan,nan,0.264,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.214,0.019,0.025,-0.001,0.81425,19549.488020833334,lp,0.2383905436466253+/-0,8.707474963085126+/-0,0.0006680888292637629+/-0,0.9587576055598538,29.0,1080.1123009723724+/-0,210.68619848143592,7.265041326946067,0.19505953065414164,2.7199677978664587,0.046500347556096396,1.6984759794820738,0.00013031709347146456,0.6497060035033125,23.772830486463896,0.0018770105877272878
20230711 11:42:46,8907.0,4003.0,228.3698898678414,5294.145374449339,64.34361233480176,15.142,46.58,24.35,52.2,-0.02,16.27,28.0,2.894140969162983,0.0,28.7,31.44,30.88,30.51,302.25,504.0,nan,nan,nan,-38.38,nan,nan,0.267,27.4,991.56,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.224,0.019,0.025,-0.001,0.8167500000000001,19549.488032407407,lp,0.23824449011638274+/-0,8.677970019547734+/-0,0.0006786358884641852+/-0,0.9586474859846172,29.0,1080.1123009723724+/-0,207.87710530271153,7.168176044921087,0.19245878888294293,2.9124265867494015,0.04585224602583329,1.6701515999246455,0.000130609441186317,0.6955582495291458,25.44298208638854,0.002007620028913605
20230711 11:42:47,8908.0,4003.0,228.29988986784142,5294.145374449339,61.34361233480176,15.873,46.58,24.35,52.2,-0.02,16.26,28.0,2.954140969162985,0.0,28.8,31.44,30.87,30.5,302.19,504.75,nan,nan,nan,-38.31,nan,nan,0.246,27.4,991.54,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215,0.019,0.025,-0.001,0.8145,19549.48804398148,lp,0.23817146335126152+/-0,8.677970019547734+/-0,0.0006469947108629179+/-0,0.9586596373633647,29.0,1080.1123009723724+/-0,212.83573513824314,7.339163280629074,0.1970496354375721,3.1094762221869736,0.046931600024999146,1.7099908286900614,0.00012749007190557534,0.742489849554145,27.1529729150786,0.0021351101008191802
20230711 11:42:48,8909.0,4003.0,228.22988986784142,5298.145374449339,52.34361233480176,15.489,46.6,24.38,52.2,-0.02,16.27,28.0,2.894140969162983,0.0,28.8,31.44,30.87,30.51,302.19,504.75,nan,nan,nan,-38.19,nan,nan,0.252,27.4,991.56,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.019,0.025,-0.001,0.8157500000000001,19549.488055555557,lp,0.2380835437988636+/-0,8.683983466369348+/-0,0.0005520711780591161+/-0,0.9587017024809225,29.0,1080.0447411724679+/-0,210.23893449178155,7.249618430751088,0.19465761600167764,3.304133838188651,0.04634477504511779,1.690403518961442,0.00010746485938422521,0.7888346245992628,28.843376434040042,0.0022425749602034053
20230711 11:42:49,8910.0,4003.0,228.3698898678414,5298.145374449339,76.34361233480176,15.438,46.6,24.38,52.2,0.02,16.27,28.0,2.894140969162983,0.0,28.8,31.46,30.88,30.52,302.25,505.19,nan,nan,nan,-38.06,nan,nan,0.246,27.4,991.55,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.218,0.019,0.025,-0.001,0.81525,19549.48806712963,lp,0.23822958819362328+/-0,8.683983466369348+/-0,0.0008052005988692545+/-0,0.9586774162477488,29.0,1080.0447411724679+/-0,209.8925265136724,7.237673328057669,0.19433688116088474,3.4984707193495357,0.046296795169790676,1.6876182629069079,0.00015648017309312752,0.8351314197690535,30.53099469694695,0.002399055133296533
20230711 11:42:50,8911.0,4003.0,228.3698898678414,5304.145374449339,53.34361233480176,15.453,46.62,24.38,52.2,-0.03,0.02,28.0,2.954140969162985,0.0,28.8,31.46,30.88,30.52,302.25,505.31,nan,nan,nan,-38.38,nan,nan,0.257,27.4,991.56,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.208,0.019,0.025,-0.001,0.8127500000000001,19549.488078703704,lp,0.23821468813494404+/-0,8.693274077943528+/-0,0.0005626182372595385+/-0,0.9587222304941934,29.0,1079.9771898236127+/-0,209.98790338182712,7.240962185580246,0.19443735049267422,3.69290806984221,0.0463178328093972,1.690297178821985,0.00010939399939160342,0.8814492525784506,32.221291875768934,0.0025084491326881364
