Energy Outputs,units,5.31,7.11,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
max_water_temp_pot3_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot4_hp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot1_mass_hp,lb,236.2,242.2,239.2,2,4.243,18.943,258.143,220.257,1.774,258.143-220.257
final_pot2_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot3_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot4_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_char_mass_hp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_mp,hh:mm:ss,,10:43:50,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_fuel_mass_mp,lb,,11.982,11.982,1,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot1_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot2_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot3_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot4_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot1_mass_mp,lb,,254.7,254.7,1,nan,nan,nan,nan,nan,nan-nan
initial_pot2_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot3_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot4_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_char_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fire_start_material_mp,--,,,nan,0,nan,nan,nan,nan,nan,nan-nan
boil_time_mp,hh:mm:ss,,,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_mp,hh:mm:ss,,11:42:32,nan,0,nan,nan,nan,nan,nan,nan-nan
final_fuel_mass_mp,lb,-234.14,2.0649999999999977,-116.037,2,167.022,745.669,629.632,-861.706,-143.939,629.632--861.706
max_water_temp_pot1_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot2_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot3_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot4_mp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot1_mass_mp,lb,,243.9,243.9,1,nan,nan,nan,nan,nan,nan-nan
final_pot2_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot3_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_pot4_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_char_mass_mp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_lp,hh:mm:ss,,11:42:32,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_fuel_mass_lp,lb,,23.601000000000003,23.601,1,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot1_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot2_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot3_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_temp_pot4_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot1_mass_lp,lb,,267.2,267.2,1,nan,nan,nan,nan,nan,nan-nan
initial_pot2_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot3_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_pot4_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_char_mass_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
fire_start_material_lp,--,,,nan,0,nan,nan,nan,nan,nan,nan-nan
boil_time_lp,hh:mm:ss,,,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_lp,hh:mm:ss,,13:01:00,nan,0,nan,nan,nan,nan,nan,nan-nan
final_fuel_mass_lp,lb,-234.14,4.064999999999998,-115.037,2,168.436,751.982,636.945,-867.019,-146.419,636.945--867.019
max_water_temp_pot1_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
max_water_temp_pot2_lp,ºC,,,nan,0,nan,nan,nan,nan,nan,nan-nan
