variable,units,value,uncertainty
filter_ID,text,3022,
tare_mass,mg,139.70,
gross_mass,mg,142.33,
start_time_filter,yyyymmdd hh:mm:ss,20230605 14:15:15,
end_time_filter,yyyymmdd hh:mm:ss,20230605 16:17:05,
