ISO Performance Metrics (Weighted Mean),units,Data,yatzo alcohol
ISO Performance Metrics (Weighted Mean),units,"['Interval', 'average']"
thermal_efficiency_w_char,%,"['nan', '86.8833447173229']"
thermal_efficiency_wo_char,%,"['nan', '86.8833447173229']"
char_mass_productivity,%,"['nan', 'nan']"
char_energy_productivity,%,"['nan', 'nan']"
avg_cooking_power,watts,"['nan', '0.7414237023956723']"
burning_rate,g/min,"['nan', '2.6153694135328025']"
Basic Operation,units,"['Interval', 'average']"
time_to_boil_hp,min,"['nan', '5.5']"
phase_time_hp,min,"['162.84217448590735', '32.13333333333333']"
eff_w_char_hp,%,"['22.208031919642455', '82.95361382299001']"
eff_wo_char_hp,%,"['19.527861109675268', '82.95361382299001']"
fuel_mass_hp,kg,"['0.9587431675225224', '0.13999999999999996']"
burn_rate_hp,g/min,"['72.87581274440296', '4.357536812026982']"
firepower_hp,kW,"['19.636163222928968', '1.4417636798726605']"
cooking_power_hp,kW,"['1.312062873218909', '1.1960541447584463']"
char_energy_productivity_hp,%,"['7.529414192826347', 'nan']"
char_mass_productivity_hp,%,"['3.9764269834123285', 'nan']"
time_to_boil_mp,min,"['nan', 'nan']"
phase_time_mp,min,"['nan', '35.0']"
eff_w_char_mp,%,"['nan', '89.71661098579794']"
eff_wo_char_mp,%,"['nan', '89.71661098579794']"
fuel_mass_mp,kg,"['nan', '0.07910000000000003']"
burn_rate_mp,g/min,"['nan', '2.2600000000000007']"
firepower_mp,kW,"['nan', '0.7477586666666671']"
cooking_power_mp,kW,"['nan', '0.6708208234285709']"
char_energy_productivity_mp,%,"['nan', 'nan']"
char_mass_productivity_mp,%,"['nan', 'nan']"
time_to_boil_lp,min,"['nan', 'nan']"
phase_time_lp,min,"['nan', '35.0']"
eff_w_char_lp,%,"['nan', '87.97980934318075']"
eff_wo_char_lp,%,"['nan', '87.97980934318075']"
fuel_mass_lp,kg,"['nan', '0.042999999999999886']"
burn_rate_lp,g/min,"['nan', '1.228571428571425']"
firepower_lp,kW,"['nan', '0.40649333333333226']"
cooking_power_lp,kW,"['nan', '0.3573961389999995']"
char_energy_productivity_lp,%,"['nan', 'nan']"
char_mass_productivity_lp,%,"['nan', 'nan']"
