time,#units:,nan,
seconds,s,35860.5,
ID,10,10.0,
CO,ppm,230.63435984431678,
CObkg,ppm,-3.1209205853735207,
CO2,ppm,1166.0680277625838,
CO2bkg,ppm,463.32361532733836,
COhi,ppm,2645.8813500957085,
CO2hi,ppm,11335.892914361888,
SO2,ppm,4.319735236838289,
NO,ppm,0.5276556503808962,
NO2,ppm,-0.5872275044389368,
H2S,ppm,0.9963915459075549,
VOC,ppm,4.363188183748398,
O2,ppm,19.446112177102464,
HC,ppm,59.93619336731771,
PM,Mm^-1,1163.9790412748043,
RH,%,32.68002734978922,
F1Flow,sccm,289.0735709376398,
F2Flow,sccm,4.319289478206185,
SampFlow,sccm,1247.4137894496012,
USampFlow,sccm,722.9822813448628,
DilFlow,sccm,1464.2541010367063,
Pitot,Pa,0.4114478635661114,
Pamb,Pa,98514.03903430895,
TCnoz,degC,45.14307792542527,
TC2,degC,52.40851008075448,
COtemp,degC,16.659603929207123,
HCtemp,degC,17.975178990774793,
HCinTemp,degC,4074.049558966722,
HCoutTemp,degC,4154.604573572369,
BattV,V,23.98383899420197,
StakVel,m/s,0.2883823684201811,
NozVel,m/s,1.882171229738068,
PMmass,ug,317.31022681711437,
DilRat,-,19.476163296866833,
TAPstat,-,0.0,
TAPspot,-,0.0,
TAPflow,sccm,-248.0779999998905,
TAPtemp,degC,0.0,
drk,raw,nan,
red,raw,nan,
grn,raw,nan,
blu,raw,nan,
drkref,raw,nan,
redref,raw,nan,
grnref,raw,nan,
bluref,raw,nan,
RedRat,-,nan,
GrnRat,-,nan,
BluRat,-,nan,
RedAbs,Mm^-1,nan,
GrnAbs,Mm^-1,nan,
BluAbs,Mm^-1,nan,
datenumbers,date,19439.163859953707,
phase,text,nan,
COconc,gm^-3,0.2687052114815384,
COhiconc,gm^-3,3.082637418869753,
CO2conc,gm^-3,2.1345888084698825,
CO2hiconc,gm^-3,20.751336605543358,
PMconc,mgm^-3,10.623292487529339,
Cconc,gm^-3,0.6977275231247604,
Cconchi,gm^-3,6.984643838956054,
MCE,mol/mol,0.8468121774061531,
MCEhi,mol/mol,0.8314997238720475,
CER_CO,g/g,0.3572681857497341,
CER_COhi,g/g,0.39298024432524387,
CER_CO2,g/g,3.1030977458490554,
CER_CO2hi,g/g,3.046986082231759,
CER_PM,mg/g,7.412206966789079,
EFmass_CO,g/kg,146.47995615738287,
EFmass_COhi,g/kg,161.1219001733202,
EFmass_CO2,g/kg,1272.2700757979578,
EFmass_CO2hi,g/kg,1249.2642937150176,
EFmass_PM,mg/kg,3039.0048563835057,
EFmass_dry_CO,g/kg,178.6340928748552,
EFmass_dry_COhi,g/kg,196.49012216260562,
EFmass_dry_CO2,g/kg,1551.5488729243273,
EFmass_dry_CO2hi,g/kg,1523.4930411158464,
EFmass_dry_PM,mg/kg,3706.103483394614,
EFenergy_CO,g/MJ,9.492577030482865,
EFenergy_COhi,g/MJ,10.441442561944044,
EFenergy_CO2,g/MJ,82.44897127846185,
EFenergy_CO2hi,g/MJ,80.9580904487757,
EFenergy_PM,mg/MJ,196.94153693108376,
ER_CO,g/min,1.0571475320873562,
ER_COhi,g/min,1.1628186108304612,
ER_CO2,g/min,9.181987802709079,
ER_CO2hi,g/min,9.015954808226894,
ER_PM,mg/min,21.932533079648753,
ER_PM_heat,g/hr,1.319286127080989,
Realtime_conc_PM,mg/m^3,10623.2684688903,
PM_flowrate,g/hr,3.260961203613414,
Psat,Pa,333695.7670352216,
PH2O,Pa,168512.78873147388,
H2O,ppm,1714796.9579258556,
COstak,%vol,-3.5194684561142577e-05,
CO2stak,%vol,-0.0005901018501951116,
H2Ostak,%vol,-1.0469617250069347,
O2stak,%vol,19.587149112324454,
N2stak,%vol,81.46043790921756,
MW,g/mol,151.05000000004802,
Stak_PM,mg/m^3,172.4497665629774,
VolFlow,m^3/s,0.005260518105060732,
StakDensity,g/m^3,0.015395367211181902,
MassFlow,g/s,7.361378845020356e-05,
EnergyFlow,W,-0.0003308813252717488,
ERCOstak,g/hr,-0.0009226704218052111,
ERCO2stak,g/hr,-0.015071959266498321,
ERH2Ostak,g/hr,-37.77625007587391,
ERO2stak,g/hr,338.4113347298431,
ERN2stak,g/hr,1453.830684359854,
ERPMstak,g/hr,2.945425915519632,
MolFlow,mol/s,2.5384064982828076e-06,
CO2Flow,mol/s,4.091936455573246e-09,
COFlow,mol/s,6.603011688568244e-10,
CBurnRate,g/s,5.7026851493160205e-08,
FirePower,watts,2.1462959643682246e-06,
