variable_name,units,average,uncertainty
HCinTemp_postbkg,degC,2900.9667221297836,0.0
HCoutTemp_postbkg,degC,2968.9683860232944,0.0
BattV_postbkg,V,23.981564059900165,0.0
StakVel_postbkg,m/s,1.1820465890183027,0.0
NozVel_postbkg,m/s,26.844176372712145,0.0
PMmass_postbkg,ug,396.0,0.0
DilRat_postbkg,-,17.03547420965058,0.0
TAPstat_postbkg,-,0.0,0.0
TAPspot_postbkg,-,0.0,0.0
TAPflow_postbkg,sccm,-248.07800000000003,0.0
TAPtemp_postbkg,degC,0.0,0.0
drk_postbkg,raw,nan,
red_postbkg,raw,nan,
grn_postbkg,raw,nan,
blu_postbkg,raw,nan,
drkref_postbkg,raw,nan,
redref_postbkg,raw,nan,
grnref_postbkg,raw,nan,
bluref_postbkg,raw,nan,
RedRat_postbkg,-,nan,
GrnRat_postbkg,-,nan,
BluRat_postbkg,-,nan,
RedAbs_postbkg,Mm^-1,nan,
GrnAbs_postbkg,Mm^-1,nan,
BluAbs_postbkg,Mm^-1,nan,
datenumbers_postbkg,date,19439.719224537035,
phase_postbkg,text,postbkg,
