time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 11:30:44,1032.0,309.34564661971837,2405.647887323944,125522.42957746479,0.2783,21.9260964,24.8,58.0,23.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.479675925926,hp
20230727 11:30:48,1036.0,321.18212661971836,2510.647887323944,59912.42957746479,0.2953,21.9906743,24.8,58.0,23.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.479722222222,hp
20230727 11:30:52,1040.0,322.34688661971836,2613.647887323944,85832.42957746479,0.2727,22.0514535,25.4,58.0,23.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47976851852,hp
20230727 11:30:56,1044.0,315.4370266197183,2663.647887323944,34262.42957746479,0.3197,22.119830099999998,25.9,57.9,23.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.479814814815,hp
20230727 11:31:00,1048.0,303.53758661971835,2709.647887323944,24677.42957746479,0.2911,22.1882067,26.0,57.6,23.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9,19565.47986111111,hp
20230727 11:31:04,1052.0,280.21090661971834,2754.647887323944,21842.42957746479,0.2895,22.2527846,26.2,57.1,23.2,1533.5424,1.2845056,3.9,3.7,3.4,2.9,19565.479907407407,hp
20230727 11:31:08,1056.0,255.4046666197183,2731.647887323944,17927.42957746479,0.2711,22.3097651,26.3,56.4,23.2,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.479953703703,hp
20230727 11:31:12,1060.0,231.5743066197183,2640.647887323944,18197.42957746479,0.2915,22.374343,26.6,56.0,23.2,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48,hp
20230727 11:31:16,1064.0,210.29382661971832,2523.647887323944,15767.42957746479,0.2876,22.431323499999998,27.2,55.8,23.2,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480046296296,hp
20230727 11:31:20,1068.0,192.17708661971832,2374.647887323944,16442.42957746479,0.2883,22.4921027,28.2,55.8,23.2,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480092592592,hp
20230727 11:31:24,1072.0,176.1537666197183,2254.647887323944,11042.42957746479,0.2851,22.5528819,28.2,55.8,23.2,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480138888888,hp
20230727 11:31:28,1076.0,163.7506466197183,2150.647887323944,10232.42957746479,0.3074,22.6174598,28.5,55.8,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480185185184,hp
20230727 11:31:32,1080.0,153.66130661971832,2070.647887323944,8882.42957746479,0.2872,22.678238999999998,28.6,55.7,23.3,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.48023148148,hp
20230727 11:31:36,1084.0,145.17744661971832,2033.6478873239437,11582.42957746479,0.2909,22.7390182,29.1,55.6,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480277777777,hp
20230727 11:31:40,1088.0,138.1574066197183,2003.6478873239437,10232.42957746479,0.2763,22.7959987,29.1,55.7,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480324074073,hp
20230727 11:31:44,1092.0,132.85302661971832,1983.6478873239437,10772.42957746479,0.2908,22.860576599999998,29.5,55.8,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48037037037,hp
20230727 11:31:48,1096.0,127.3125466197183,1946.6478873239437,7937.429577464791,0.2783,22.9213558,29.8,55.7,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480416666665,hp
20230727 11:31:52,1100.0,120.60730661971832,1940.6478873239437,10232.42957746479,0.273,22.982135,30.2,55.7,23.3,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.48046296296,hp
20230727 11:31:56,1104.0,114.84646661971831,1939.6478873239437,16172.42957746479,0.2983,23.0353168,30.1,55.6,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480509259258,hp
20230727 11:32:00,1108.0,112.48546661971831,1926.6478873239437,28052.42957746479,0.2792,23.096096,30.0,55.7,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480555555554,hp
20230727 11:32:04,1112.0,118.02594661971831,1910.6478873239437,18602.42957746479,0.2847,23.156875199999998,30.1,56.0,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48060185185,hp
20230727 11:32:08,1116.0,122.7164666197183,1922.6478873239437,19412.42957746479,0.2741,23.2138557,30.4,56.1,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480648148146,hp
20230727 11:32:12,1120.0,123.61364661971831,1944.6478873239437,15092.42957746479,0.2854,23.2784336,30.9,56.2,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480694444443,hp
20230727 11:32:16,1124.0,122.6377666197183,1961.6478873239437,18737.42957746479,0.2919,23.335414099999998,31.3,56.2,23.3,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.480740740742,hp
20230727 11:32:20,1128.0,121.9452066197183,1977.6478873239437,17657.42957746479,0.2965,23.3961933,31.8,56.0,23.3,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48078703704,hp
20230727 11:32:24,1132.0,121.48874661971831,2013.6478873239437,17522.42957746479,0.2947,23.4417777,32.1,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480833333335,hp
20230727 11:32:28,1136.0,119.91474661971831,2003.6478873239437,29267.42957746479,0.2931,23.4987582,32.0,55.9,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48087962963,hp
20230727 11:32:32,1140.0,121.89798661971831,1983.6478873239437,24137.42957746479,0.2768,23.55194,32.1,56.1,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480925925927,hp
20230727 11:32:36,1144.0,125.25060661971831,1966.6478873239437,30212.42957746479,0.2751,23.6051218,32.5,56.2,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.480972222223,hp
20230727 11:32:40,1148.0,128.4300866197183,1953.6478873239437,22517.42957746479,0.2942,23.6583036,32.8,56.2,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48101851852,hp
20230727 11:32:44,1152.0,128.7921066197183,1949.6478873239437,14282.42957746479,0.2831,23.7076867,33.0,56.1,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481064814816,hp
20230727 11:32:48,1156.0,122.62202661971831,1953.6478873239437,11312.42957746479,0.2911,23.7532711,33.4,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481111111112,hp
20230727 11:32:52,1160.0,113.74466661971832,1936.6478873239437,9557.42957746479,0.273,23.7950568,33.8,55.7,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48115740741,hp
20230727 11:32:56,1164.0,104.55250661971832,1910.6478873239437,11852.42957746479,0.3059,23.8482386,34.0,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481203703705,hp
20230727 11:33:00,1168.0,95.83254661971831,1866.6478873239437,7532.429577464791,0.2894,23.893823,34.5,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48125,hp
20230727 11:33:04,1172.0,88.3088266197183,1846.6478873239437,6317.429577464791,0.2917,23.9432061,34.8,55.7,23.4,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.481296296297,hp
20230727 11:33:08,1176.0,81.09990661971831,1814.6478873239437,4427.429577464791,0.2812,23.9849918,35.0,55.6,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481342592593,hp
20230727 11:33:12,1180.0,74.7724266197183,1787.6478873239437,4157.429577464791,0.2934,24.0305762,35.3,55.6,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48138888889,hp
20230727 11:33:16,1184.0,68.7125266197183,1748.6478873239437,3347.429577464791,0.2967,24.0723619,35.6,55.5,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481435185186,hp
20230727 11:33:20,1188.0,62.76280661971831,1703.6478873239437,1997.4295774647908,0.3155,24.110348899999998,35.9,55.1,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48148148148,hp
20230727 11:33:24,1192.0,57.12788661971832,1666.6478873239437,2132.429577464791,0.2952,24.1445372,36.1,54.8,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481527777778,hp
20230727 11:33:28,1196.0,51.96516661971832,1612.6478873239437,2402.429577464791,0.2854,24.174926799999998,36.6,54.7,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481574074074,hp
20230727 11:33:32,1200.0,47.36908661971832,1532.6478873239437,3077.429577464791,0.2808,24.209115099999998,36.9,54.5,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48162037037,hp
20230727 11:33:36,1204.0,43.434086619718315,1474.6478873239437,1592.4295774647908,0.3006,24.235706,36.8,54.4,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481666666667,hp
20230727 11:33:40,1208.0,39.97128661971831,1411.6478873239437,3077.429577464791,0.2788,24.2660956,37.5,54.4,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481712962963,hp
20230727 11:33:44,1212.0,37.358446619718315,1365.6478873239437,5102.429577464791,0.29,24.288887799999998,37.5,54.5,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48175925926,hp
20230727 11:33:48,1216.0,36.209426619718315,1332.6478873239437,4427.429577464791,0.299,24.3192774,38.1,54.6,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481805555555,hp
20230727 11:33:52,1220.0,36.47700661971832,1309.6478873239437,4427.429577464791,0.2764,24.3420696,38.4,54.5,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48185185185,hp
