time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda
20230727 11:16:04,152.0,-0.33054,670.0,34020.0,0.2972,20.89285,21.5,53.4,21.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:08,156.0,-0.34628000000000003,677.0,33885.0,0.3009,20.9004474,21.5,53.4,21.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:12,160.0,-0.29906,693.0,33210.0,0.3099,20.904246099999998,21.5,53.3,21.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:16,164.0,-0.26758,703.0,34020.0,0.2877,20.9080448,21.6,53.3,21.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:20,168.0,-0.33054,700.0,33075.0,0.3017,20.9156422,21.6,53.3,21.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:24,172.0,-0.33054,707.0,33075.0,0.282,20.919440899999998,21.6,53.2,21.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:28,176.0,-0.3148,696.0,32805.0,0.2686,20.9270383,21.6,53.2,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:32,180.0,-0.33054,677.0,33345.0,0.2853,20.9346357,21.6,53.1,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:36,184.0,-0.34628000000000003,675.0,33615.0,0.2814,20.9384344,21.7,53.1,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:40,188.0,-0.28332,686.0,33480.0,0.2859,20.9460318,21.6,53.0,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:16:44,192.0,-0.3148,687.0,33480.0,0.2858,20.9498305,21.7,53.0,21.5,1533.5424,1.2845056,3.8,3.7,3.5,2.9
