time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 12:08:56,3324.0,179.8841466197183,2138.647887323944,7532.429577464791,7.317740000000001,24.1483359,28.9,50.0,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.506203703702,mp
20230727 12:09:00,3328.0,166.1588666197183,2041.6478873239437,5777.429577464791,7.2796400000000006,24.190121599999998,29.0,50.0,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50625,mp
20230727 12:09:04,3332.0,154.74736661971832,1955.6478873239437,6587.429577464791,7.391399999999999,24.2319073,29.4,49.8,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.506296296295,mp
20230727 12:09:08,3336.0,144.01268661971832,1863.6478873239437,7802.429577464791,6.995159999999999,24.2774917,29.7,49.7,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50634259259,mp
20230727 12:09:12,3340.0,133.1206066197183,1793.6478873239437,8072.429577464791,7.02818,24.3154787,29.9,49.6,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.506388888887,mp
20230727 12:09:16,3344.0,123.8812266197183,1730.6478873239437,8207.42957746479,7.546339999999999,24.349667,30.2,49.6,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.506435185187,mp
20230727 12:09:20,3348.0,117.47504661971831,1679.6478873239437,6317.429577464791,7.302499999999999,24.3914527,31.0,49.7,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.506481481483,mp
20230727 12:09:24,3352.0,111.8716066197183,1634.6478873239437,8342.42957746479,7.3202799999999995,24.4294397,31.4,49.6,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.50652777778,mp
20230727 12:09:28,3356.0,106.3626066197183,1620.6478873239437,10232.42957746479,7.355840000000001,24.471225399999998,31.6,49.6,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.506574074076,mp
20230727 12:09:32,3360.0,101.08970661971831,1603.6478873239437,9017.42957746479,6.9596,24.5130111,31.5,49.7,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.506620370372,mp
20230727 12:09:36,3364.0,96.82416661971831,1608.6478873239437,10367.42957746479,6.9596,24.5509981,31.8,49.9,26.5,65536.0,1664614.4,3.9,3.6,3.3,2.9,19565.506666666668,mp
20230727 12:09:40,3368.0,94.08540661971831,1603.6478873239437,10637.42957746479,7.18058,24.5927838,32.6,50.0,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.506712962964,mp
20230727 12:09:44,3372.0,91.1105466197183,1620.6478873239437,7937.429577464791,6.9723,24.6383682,33.1,50.2,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.50675925926,mp
20230727 12:09:48,3376.0,87.66348661971831,1634.6478873239437,11852.42957746479,7.43458,24.6763552,33.6,50.1,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.506805555557,mp
20230727 12:09:52,3380.0,83.98032661971831,1666.6478873239437,11717.42957746479,7.49046,24.7105435,33.7,50.0,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.506851851853,mp
20230727 12:09:56,3384.0,81.6980266197183,1723.6478873239437,14282.42957746479,7.350759999999999,24.7485305,33.8,50.1,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.50689814815,mp
20230727 12:10:00,3388.0,80.7851066197183,1750.6478873239437,10502.42957746479,7.264399999999999,24.782718799999998,34.3,50.0,26.5,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.506944444445,mp
20230727 12:10:04,3392.0,80.43882661971831,1774.6478873239437,12392.42957746479,7.467599999999999,24.8207058,34.4,49.8,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50699074074,mp
20230727 12:10:08,3396.0,81.0054666197183,1792.6478873239437,11447.42957746479,7.505699999999999,24.8548941,34.8,49.7,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507037037038,mp
20230727 12:10:12,3400.0,81.28878661971831,1774.6478873239437,10097.42957746479,7.37108,24.8852837,35.8,49.5,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507083333334,mp
20230727 12:10:16,3404.0,81.4147066197183,1789.6478873239437,9557.42957746479,7.19074,24.919472,35.9,49.6,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50712962963,mp
20230727 12:10:20,3408.0,81.16286661971832,1761.6478873239437,6722.429577464791,7.195819999999999,24.9498616,35.8,49.5,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507175925926,mp
20230727 12:10:24,3412.0,79.5101666197183,1725.6478873239437,5642.429577464791,7.85622,24.980251199999998,35.6,49.3,26.5,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507222222222,mp
20230727 12:10:28,3416.0,76.42512661971831,1734.6478873239437,5777.429577464791,7.10692,24.9992447,35.7,49.1,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50726851852,mp
20230727 12:10:32,3420.0,72.71048661971831,1674.6478873239437,4427.429577464791,7.505699999999999,25.0258356,35.6,48.9,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507314814815,mp
20230727 12:10:36,3424.0,68.69678661971831,1636.6478873239437,4292.429577464791,7.315199999999999,25.0486278,35.9,48.7,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.50736111111,mp
20230727 12:10:40,3428.0,65.2812066197183,1569.6478873239437,5237.429577464791,7.325359999999999,25.07142,36.1,48.6,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507407407407,mp
20230727 12:10:44,3432.0,63.21926661971831,1506.6478873239437,3347.429577464791,6.893559999999999,25.0904135,36.0,48.6,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507453703704,mp
20230727 12:10:48,3436.0,61.110106619718316,1430.6478873239437,4562.429577464791,7.2415400000000005,25.109407,36.1,48.4,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.5075,mp
20230727 12:10:52,3440.0,59.20556661971831,1372.6478873239437,3752.429577464791,7.75462,25.1246018,36.3,48.1,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507546296296,mp
20230727 12:10:56,3444.0,57.411206619718314,1280.6478873239437,3617.429577464791,7.658099999999999,25.1397966,36.5,47.9,26.6,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.507592592592,mp
