ISO Performance Metrics (Weighted Mean),units,yatzo_test1
thermal_efficiency_w_char,%,86.38721707232048
thermal_efficiency_wo_char,%,86.38721707232048
char_mass_productivity,%,
char_energy_productivity,%,
avg_cooking_power,watts,0.7575731065589482
burning_rate,g/min,2.6724512958666984
Basic Operation,units,yatzo_test1
time_to_boil_hp,min,
phase_time_hp,min,31.816666666666666
eff_w_char_hp,%,83.63830162350332
eff_wo_char_hp,%,83.63830162350332
fuel_mass_hp,kg,0.14100000000000001
burn_rate_hp,g/min,4.431639601885805
firepower_hp,kW,1.4662818229439496
cooking_power_hp,kW,1.2263732137244638
char_energy_productivity_hp,%,
char_mass_productivity_hp,%,
time_to_boil_mp,min,
phase_time_mp,min,35.0
eff_w_char_mp,%,89.38708170017891
eff_wo_char_mp,%,89.38708170017891
fuel_mass_mp,kg,0.0794999999999999
burn_rate_mp,g/min,2.2714285714285687
firepower_mp,kW,0.7515399999999991
cooking_power_mp,kW,0.6717796738095237
char_energy_productivity_mp,%,
char_mass_productivity_mp,%,
time_to_boil_lp,min,
phase_time_lp,min,35.0
eff_w_char_lp,%,86.13626789327921
eff_wo_char_lp,%,86.13626789327921
fuel_mass_lp,kg,0.04600000000000026
burn_rate_lp,g/min,1.3142857142857218
firepower_lp,kW,0.4348533333333358
cooking_power_lp,kW,0.37456643214285656
char_energy_productivity_lp,%,
char_mass_productivity_lp,%,
