ISO Performance Metrics (Weighted Mean),units,5.31
eff_w_char,%,
eff_wo_char,%,
char_mass_productivity,%,
char_energy_productivity,%,
cooking_power,kW,
burn_rate,g/min,-32491.435
CO_useful_eng_deliver,g/MJ,
CO2_useful_eng_deliver,g/MJ,
CO_mass_time,g/min,4.812
CO2_mass_time,g/min,71.861
PM_mass_time,mg/min,127675315.853
PM_heat_mass_time,g/hr,7660518.951
