sep=,

firmware launcher:,6.89
firmware GUI,6.30

Household ID:,21
Sensor ID:,4001
Sensor Type:,FUELv2 
Start time:,2023-03-21 16:52:00
Stop time:,2023-03-24 07:06:20
Total number of logs:,56015
Study arm:,0

Fuel type:,
Fuel calibration value:,52.20
Fuel resolution (gram):,1.00

Timestamp,Battery level (%),Temperature (C), kg (FUEL 4001)
2023-03-21 16:52:04,83,16.68,0.005875
2023-03-21 16:52:08,83,16.68,-0.000115
2023-03-21 16:52:12,83,16.68,-0.000255
2023-03-21 16:52:16,83,16.68,-0.000255
2023-03-21 16:52:20,83,16.68,-0.000144
2023-03-21 16:52:24,83,16.68,-0.000144
2023-03-21 16:52:28,83,16.68,0.000383
2023-03-21 16:52:32,83,16.68,0.000383
2023-03-21 16:52:36,83,16.68,0.000383
2023-03-21 16:52:40,83,16.68,0.000383
2023-03-21 16:52:44,83,16.68,0.000233
2023-03-21 16:52:48,83,16.68,0.000089
2023-03-21 16:52:52,83,16.68,0.000089
2023-03-21 16:52:56,83,16.68,-0.000259
2023-03-21 16:53:00,83,16.68,-0.000259
2023-03-21 16:53:04,83,16.68,-0.000326
2023-03-21 16:53:08,83,16.68,-0.000259
2023-03-21 16:53:12,83,16.68,-0.000319
2023-03-21 16:53:16,83,16.68,-0.000319
2023-03-21 16:53:20,83,16.68,-0.000319
2023-03-21 16:53:24,83,16.68,-0.000319
2023-03-21 16:53:28,83,16.68,-0.000319
2023-03-21 16:53:32,83,16.68,-0.000702
2023-03-21 16:53:36,83,16.68,-0.000134
2023-03-21 16:53:40,83,16.68,-0.000431
2023-03-21 16:53:44,83,16.68,-0.000070
2023-03-21 16:53:48,83,16.68,-0.000070
2023-03-21 16:53:52,83,16.68,-0.000070
2023-03-21 16:53:56,83,16.68,-0.000431
2023-03-21 16:54:00,83,16.68,-0.000491
2023-03-21 16:54:04,83,16.68,-0.001022
2023-03-21 16:54:08,83,16.68,-0.001022
2023-03-21 16:54:12,83,16.68,-0.000897
2023-03-21 16:54:16,83,16.68,-0.000897
2023-03-21 16:54:20,83,16.68,-0.000763
2023-03-21 16:54:24,83,16.68,-0.000559
2023-03-21 16:54:28,83,16.68,-0.000559
2023-03-21 16:54:32,83,16.68,-0.000715
2023-03-21 16:54:36,83,16.68,-0.000715
2023-03-21 16:54:40,83,16.68,-0.000559
2023-03-21 16:54:44,83,16.68,-0.000476
2023-03-21 16:54:48,83,16.68,-0.000476
2023-03-21 16:54:52,83,16.68,-0.000405
2023-03-21 16:54:56,83,16.68,-0.000476
2023-03-21 16:55:00,83,16.68,-0.000587
2023-03-21 16:55:04,83,16.68,-0.000680
2023-03-21 16:55:08,83,16.68,-0.000587
2023-03-21 16:55:12,83,16.68,-0.000587
2023-03-21 16:55:16,83,16.68,-0.000587
2023-03-21 16:55:20,83,16.68,-0.000421
2023-03-21 16:55:24,83,16.69,-0.000421
2023-03-21 16:55:28,83,16.68,-0.000661
2023-03-21 16:55:32,83,16.68,-0.000661
2023-03-21 16:55:36,83,16.68,-0.000581
2023-03-21 16:55:40,83,16.68,-0.000581
2023-03-21 16:55:44,83,16.68,-0.000431
2023-03-21 16:55:48,83,16.68,-0.000393
2023-03-21 16:55:52,83,16.69,-0.000393
2023-03-21 16:55:56,83,16.69,-0.000010
2023-03-21 16:56:00,83,16.69,-0.000393
2023-03-21 16:56:04,83,16.69,-0.000393
2023-03-21 16:56:08,83,16.69,-0.000010
2023-03-21 16:56:12,83,16.69,0.000010
2023-03-21 16:56:16,83,16.69,0.000010
2023-03-21 16:56:20,83,16.69,0.000010
2023-03-21 16:56:24,83,16.69,-0.000718
2023-03-21 16:56:28,83,16.69,-0.000718
2023-03-21 16:56:32,83,16.69,-0.000718
2023-03-21 16:56:36,83,16.69,-0.000262
2023-03-21 16:56:40,83,16.69,0.000022
2023-03-21 16:56:44,83,16.69,0.000022
2023-03-21 16:56:48,83,16.69,0.000022
2023-03-21 16:56:52,83,16.69,0.000022
2023-03-21 16:56:56,83,16.69,-0.000105
2023-03-21 16:57:00,83,16.69,-0.000105
2023-03-21 16:57:04,83,16.69,0.000019
2023-03-21 16:57:08,83,16.69,0.000153
2023-03-21 16:57:12,83,16.69,0.000153
2023-03-21 16:57:16,83,16.69,0.000208
2023-03-21 16:57:20,83,16.69,0.000208
2023-03-21 16:57:24,83,16.69,0.000259
2023-03-21 16:57:28,83,16.69,0.000208
2023-03-21 16:57:32,83,16.69,0.000057
2023-03-21 16:57:36,83,16.69,0.000010
2023-03-21 16:57:40,83,16.69,-0.000255
2023-03-21 16:57:44,83,16.69,-0.000255
2023-03-21 16:57:48,83,16.69,-0.000290
2023-03-21 16:57:52,83,16.69,-0.000575
2023-03-21 16:57:56,83,16.69,-0.000575
2023-03-21 16:58:00,83,16.70,-0.000338
2023-03-21 16:58:04,83,16.69,-0.000741
2023-03-21 16:58:08,83,16.69,-0.000338
2023-03-21 16:58:12,83,16.69,-0.000112
2023-03-21 16:58:16,83,16.69,-0.000195
2023-03-21 16:58:20,83,16.69,-0.000195
2023-03-21 16:58:24,83,16.69,0.000019
2023-03-21 16:58:28,83,16.69,-0.000195
2023-03-21 16:58:32,83,16.69,-0.000195
2023-03-21 16:58:36,83,16.69,0.000019
2023-03-21 16:58:40,83,16.69,0.000019
2023-03-21 16:58:44,83,16.69,-0.000345
2023-03-21 16:58:48,83,16.69,-0.000297
2023-03-21 16:58:52,83,16.69,-0.000297
2023-03-21 16:58:56,83,16.69,-0.000297
2023-03-21 16:59:00,83,16.69,-0.000297
