variable_name,units,value,unc
CO,ppm,595.6983429531632,0.0
CO2,ppm,6496.116552652171,0.0
PM,%,50.251381215469614,0.0
PM,%,50.251381215469614,0.0
COconc,gm^-3,0.6940303662059459,0.0
CO2conc,gm^-3,11.891705596623543,0.0
PMconc,mgm^-3,43.11193976852093,0.0
Cconc,gm^-3,3.5427407337964,0.0
MCE,mol/mol,0.9160019893747783,0.0
CER_CO,g/g,0.19590210471377711,0.0
CER_CO2,g/g,3.356640095952039,0.0
CER_PM,mg/g,12.169092521292741,0.0
EFmass_CO,g/kg,80.31986293264862,6.333578972299428
EFmass_CO2,g/kg,1376.222439340336,108.5212696431222
EFmass_PM,mg/kg,4989.327933730025,393.43073223962966
EFmass_dry_CO,g/kg,97.95105235688855,4.897552617844428
EFmass_dry_CO2,g/kg,1678.3200479760194,83.91600239880097
EFmass_dry_PM,mg/kg,6084.546260646371,304.22731303231853
EFenergy_CO,g/MJ,5.205097720993365,0.531268466937331
EFenergy_CO2,g/MJ,89.18556408141636,9.102898820011522
EFenergy_PM,mg/MJ,323.3314713064626,33.00145823982599
ER_CO,g/min,7.4835687080716555,1.229583993459349
ER_CO2,g/min,128.22550744427372,21.06802752230065
ER_PM,mg/min,464.86606221526046,76.379584593892
ER_PM_heat,g/hr,27.891963732915627,4.58277507563352
