time,seconds,ID,CO,CObkg,CO2,CO2bkg,COhi,CO2hi,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,TAPstat,TAPspot,TAPflow,TAPtemp,drk,red,grn,blu,drkref,redref,grnref,bluref,RedRat,GrnRat,BluRat,RedAbs,GrnAbs,BluAbs,datenumbers,phase
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,-,-,sccm,degC,raw,raw,raw,raw,raw,raw,raw,raw,-,-,-,Mm^-1,Mm^-1,Mm^-1,date,text
20230321 17:59:25,242.0,10.0,-0.21478919631093535,-0.84,14.481225296442688,488.0,-0.6768774703557312,-64.64196310935444,-0.5,1.71,0.4,0.0,2.75,20.59,127.0,-0.4805665349143613,53.29,492.5,485.3,1223.1,533.8,1326.8,0.118,96788.0,4095.0,13.25,16.12,18.5,4361.0,4179.0,12.19,1.47,46.25,0.0,1.52,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.749594907407,prebkg
20230321 17:59:26,243.0,10.0,-0.35478919631093536,-0.84,14.481225296442688,488.0,-0.6768774703557312,-64.64196310935444,-0.5,2.26,0.44,0.0,2.82,20.59,127.0,-0.4805665349143613,53.29,491.8,485.7,1221.6,533.8,1324.7,-0.176,96788.0,4095.0,13.25,16.19,18.5,4361.0,4181.0,12.18,-1.79,46.27,0.0,1.51,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.74960648148,prebkg
20230321 17:59:27,244.0,10.0,-0.07478919631093539,-0.84,8.481225296442688,486.0,0.3231225296442688,-85.64196310935444,-0.38,1.94,0.43,0.0,2.75,20.59,127.0,-0.4805665349143613,53.29,491.6,485.1,1222.2,534.0,1325.2,-0.228,96788.0,4095.0,13.25,16.06,18.5,4362.0,4182.0,12.17,-2.04,46.25,0.0,1.52,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.749618055557,prebkg
20230321 17:59:28,245.0,10.0,-0.21478919631093535,-0.84,8.481225296442688,486.0,-0.6768774703557312,-85.64196310935444,-0.5,2.11,0.44,0.0,2.82,20.59,127.0,2.5194334650856387,53.29,492.0,485.3,1224.7,534.1,1322.6,0.009,96787.0,4095.0,13.25,16.12,18.5,4361.0,4182.0,12.19,0.41,46.44,0.0,1.5,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.74962962963,prebkg
20230321 17:59:29,246.0,10.0,-0.21478919631093535,-0.84,10.481225296442688,486.0,-0.6768774703557312,-64.64196310935444,-0.38,1.85,0.43,0.0,2.75,20.59,127.0,-0.4805665349143613,53.26,492.6,485.4,1224.6,534.2,1326.3,0.421,96789.0,4095.0,13.25,16.12,18.5,4362.0,4183.0,12.17,2.77,46.34,0.0,1.51,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.749641203704,prebkg
20230321 17:59:30,247.0,10.0,-0.21478919631093535,-0.31,10.481225296442688,486.0,0.3231225296442688,-43.641963109354435,-0.38,2.22,0.44,0.0,2.75,20.59,126.0,-0.4805665349143613,53.26,492.4,485.9,1224.3,534.2,1323.2,0.123,96788.0,4095.0,13.25,16.06,18.5,4363.0,4183.0,12.19,1.5,46.44,0.0,1.5,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.749652777777,prebkg
20230321 17:59:31,248.0,10.0,-0.21478919631093535,-0.31,11.481225296442688,488.0,0.3231225296442688,-85.64196310935444,-0.38,1.78,0.43,0.0,2.82,20.59,126.0,-0.4805665349143613,53.26,492.3,485.6,1222.4,534.2,1326.0,-0.28,96788.0,4095.0,13.25,16.12,18.5,4364.0,4183.0,12.17,-2.26,46.27,0.0,1.52,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.749664351853,prebkg
20230321 17:59:32,249.0,10.0,-0.21478919631093535,-0.84,11.481225296442688,488.0,-0.6768774703557312,-43.641963109354435,-0.38,2.84,0.41,0.0,2.75,20.59,126.0,-0.4805665349143613,53.26,492.5,484.6,1223.3,533.7,1323.7,-0.233,96786.0,4095.0,13.25,16.12,18.5,4363.0,4183.0,12.18,-2.06,46.34,0.0,1.51,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.749675925927,prebkg
20230321 17:59:33,250.0,10.0,-0.07478919631093539,-0.31,7.4812252964426875,486.0,-0.6768774703557312,-22.641963109354435,-0.5,2.03,0.4,0.0,2.75,20.59,126.0,0.5194334650856387,53.26,492.0,485.8,1222.1,533.8,1323.1,-0.185,96789.0,4095.0,13.25,16.19,18.5,4364.0,4184.0,12.16,-1.84,46.35,0.0,1.51,0.0,0.0,-248.078,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19437.7496875,prebkg
