variable_name,units,average,uncertainty
HCinTemp_postbkg,degC,5321.562396006656,0.0
HCoutTemp_postbkg,degC,5325.885191347754,0.0
BattV_postbkg,V,23.99016638935108,0.0
StakVel_postbkg,m/s,2.594758735440932,0.0
NozVel_postbkg,m/s,23.619850249584026,0.0
PMmass_postbkg,ug,0.0,0.0
DilRat_postbkg,-,52.91790349417638,0.0
TAPstat_postbkg,-,0.0,0.0
TAPspot_postbkg,-,0.0,0.0
TAPflow_postbkg,sccm,-248.07800000000003,0.0
TAPtemp_postbkg,degC,0.0,0.0
drk_postbkg,raw,nan,
red_postbkg,raw,nan,
grn_postbkg,raw,nan,
blu_postbkg,raw,nan,
drkref_postbkg,raw,nan,
redref_postbkg,raw,nan,
grnref_postbkg,raw,nan,
bluref_postbkg,raw,nan,
RedRat_postbkg,-,nan,
GrnRat_postbkg,-,nan,
BluRat_postbkg,-,nan,
RedAbs_postbkg,Mm^-1,nan,
GrnAbs_postbkg,Mm^-1,nan,
BluAbs_postbkg,Mm^-1,nan,
datenumbers_postbkg,date,19438.741747685184,
phase_postbkg,text,postbkg,
