variable_name,units,value,uncertainty
start_time_prebkg,yyyymmdd hh:mm:ss,20230605 11:15:19,
end_time_prebkg,yyyymmdd hh:mm:ss,20230605 11:46:21,
start_time_test,yyyymmdd hh:mm:ss,20230605 11:48:21,
end_time_test,yyyymmdd hh:mm:ss,20230605 16:17:05,
start_time_postbkg,yyyymmdd hh:mm:ss,20230605 16:55:01,
end_time_postbkg,yyyymmdd hh:mm:ss,20230605 17:05:01,
