#file begin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#version: possum1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#reading eemem.................................#done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CLOCK ERROR: no square wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#testing sensor coms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 10 HC disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 23 HCtemp disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#channels tested OK: 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# num inputs: 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#headers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A:,nan,10,0.12188,0.46524,1.10464,0.90656,1,1,1,1,0.07293,0.17561,1,1,1,0.11345,0.10736,0.11278,0.11246,0.11009,0.00474,0.9754,0.27664,1,1,1,1,1,0.00683,1,1,1,1,0.56357,37.5954018
#B:,nan,10,-8558.6,-8529.7,-43.1,-167.5,-8541.4,-26283,-26268,-26264,-1827.3,3,0,-171,0,-13053,-13326,-14174,-13497,-14562,-785.5,53110.6,0,0,0,0,0,0,0,0,0,0,0,-5581.6,-4.7
#C:,nan,10,Cpitot(-),MolWt(g/mol),NozDiam(mm),MSC(m2/g),Rminrat,Gminrat,Bminrat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,10,0.84,29,3.175,299,nan,299,nan,nan,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,ppm,ppm
time,seconds,ID,CO,CObkg,CO2,CO2bkg,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,COhi,CO2hi
20230125 13:39:03,3,10,-13.72,-95.7,925.49,907.21,-21.4,65535,87,0,1.87,18.96,nan,9,64.96,578.37,22.01,1106.6,659.13,1581.99,-0.15,100463.86,4095,nan,0.94,nan,1947,1924,23.89,-1.65,24.82,0,12.66,10.93,-178.57
20230125 13:39:04,4,10,-12.75,-90.12,925.49,907.21,-21.4,65535,81,0,1.8,18.96,nan,9,65.74,577.46,21.58,1111.11,658.9,1590.47,-0.2,100464.84,4095,nan,0.88,nan,1949,1925,23.89,-1.86,24.64,0,13.29,10.93,-178.57
20230125 13:39:05,5,10,-11.9,-85.46,924.38,901.14,-20.4,65535,75,0,1.73,18.96,nan,10,66.49,577.46,21.36,1109.64,659.02,1578.03,-0.14,100464.84,4095,nan,0.94,nan,1949,1925,23.9,-1.59,24.99,0,12.1,11.5,-178.57
20230125 13:39:06,6,10,-11.29,-80.81,924.38,901.14,-19.4,65535,71,0,1.66,18.96,nan,9,67.25,576.89,21.15,1113.93,659.13,1592.89,-0.23,100464.84,4095,nan,0.88,nan,1949,1925,23.89,-2.01,24.63,0,13.38,10.93,-178.57
20230125 13:39:07,7,10,-10.55,-76.63,921.95,896.7,-20.4,23179,66,0,1.58,18.96,nan,10,68.01,577.69,20.51,1107.16,658.68,1587.94,-0.23,100462.88,4095,nan,0.88,nan,1949,1924,23.91,-1.99,24.56,0,13.52,10.93,1494.42
20230125 13:39:08,8,10,-9.7,-72.44,921.95,896.7,-19.4,12870,62,0,1.58,18.96,nan,10,68.71,577.8,20.4,1109.76,659.13,1587.06,-0.17,100464.84,4095,nan,0.88,nan,1950,1925,23.89,-1.72,24.69,0,13.13,10.93,1438.03
20230125 13:39:09,9,10,-9.09,-69.18,919.3,890.17,-18.4,9154,57,0,1.44,18.96,nan,8,69.42,577.46,19.97,1110.77,658.68,1582.32,-0.23,100463.86,4095,nan,0.88,nan,1950,1925,23.91,-2.03,24.83,0,12.57,10.93,1494.42
20230125 13:39:10,10,10,-8.48,-64.99,919.3,890.17,-18.4,6846,55,0,1.44,18.96,nan,9,70.1,576.33,20.08,1106.48,658.79,1590.03,-0.22,100464.84,4095,nan,0.88,nan,1950,1925,23.89,-1.95,24.42,0,14.09,10.93,1456.83
20230125 13:39:11,11,10,-7.87,-61.74,916.87,883.1,-17.4,5870,51,0,1.36,18.96,nan,8,70.77,575.87,19.65,1111.9,658.57,1593.66,-0.25,100464.84,4095,nan,0.94,nan,1949,1926,23.92,-2.11,24.44,0,14.01,10.93,1475.62
20230125 13:39:12,12,10,-7.39,-58.02,916.87,883.1,-15.4,4800,49,-1,1.29,18.96,nan,9,71.41,576.44,19.32,1107.05,658.57,1586.73,-0.24,100464.84,4095,nan,0.88,nan,1951,1925,23.9,-2.05,24.52,0,13.67,10.93,1456.83
