#file begin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#version: possum1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#reading eemem.................................#done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CLOCK ERROR: no square wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#testing sensor coms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 10 HC disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ch 23 HCtemp disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#channels tested OK: 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# num inputs: 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#headers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A:,nan,10,0.12188,0.46524,1.10464,0.90656,1,0.01145,1,1,0.05708,0.17561,1,1,1,0.11345,0.10736,0.11278,0.11246,0.11009,0.00474,0.9754,0.27664,1,1,1,1,1,0.00683,1,1,1,1,0.56357,37.5954018
#B:,nan,10,-8558.6,-8529.7,-43.1,-167.5,-8547.7,-26249,-26303,-26264,-1827.3,3,0,-171,0,-13053,-13326,-14174,-13497,-14562,-785.5,53110.6,0,0,0,0,0,0,0,0,0,0,0,-5581.6,-4.7
#C:,nan,10,Cpitot(-),MolWt(g/mol),NozDiam(mm),MSC(m2/g),Rminrat,Gminrat,Bminrat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#D:,nan,10,0.84,29,3.175,299,nan,299,nan,nan,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
#units:,s,10,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Mm^-1,%,sccm,sccm,sccm,sccm,sccm,Pa,Pa,degC,degC,degC,degC,degC,degC,V,m/s,m/s,ug,-,ppm,ppm
time,seconds,ID,CO,CObkg,CO2,CO2bkg,SO2,NO,NO2,H2S,VOC,O2,HC,PM,RH,F1Flow,F2Flow,SampFlow,USampFlow,DilFlow,Pitot,Pamb,TCnoz,TC2,COtemp,HCtemp,HCinTemp,HCoutTemp,BattV,StakVel,NozVel,PMmass,DilRat,COhi,CO2hi
20230125 15:38:09,3,10,4.8,14.56,70.5,485.57,-4.7,51.27,-12,0,11.63,20.02,nan,8,9.43,541.16,-14.92,1059.91,610.43,1503.39,-0.13,100556.52,4095,nan,9.12,nan,2795,2838,23.95,-1.49,21.92,0,18.17,2.48,554.54
20230125 15:38:10,4,10,4.68,15.03,74.59,480.95,-5.7,50.29,-13,0,11.74,20.02,nan,8,9.43,540.7,-14.92,1058.33,610.1,1504.82,-0.05,100555.55,4095,nan,9,nan,2795,2838,23.98,-0.89,21.8,0,18.98,2.48,554.54
20230125 15:38:11,5,10,4.68,14.56,74.59,480.95,-4.7,51.55,-11,0,11.68,20.02,nan,8,9.43,540.02,-15.03,1058.33,610.66,1503.61,-0.13,100551.64,4095,nan,9.12,nan,2795,2838,23.96,-1.51,21.83,0,18.86,2.48,479.35
20230125 15:38:12,6,10,4.68,15.03,78.01,479.77,-4.7,50.53,-12,0,11.68,20.02,nan,8,9.43,541.5,-14.71,1060.7,610.55,1505.48,-0.15,100544.81,4095,nan,9.06,nan,2796,2839,23.98,-1.62,21.9,0,18.36,2.48,535.74
20230125 15:38:13,7,10,4.68,14.56,78.01,479.77,-5.7,51.08,-13,0,11.68,20.02,nan,8,9.43,541.16,-14.82,1059.57,610.66,1507.02,-0.06,100556.52,4095,nan,9.12,nan,2796,2840,23.95,-1.06,21.8,0,19.1,2.48,516.94
20230125 15:38:14,8,10,4.68,14.56,82.1,476.23,-5.7,50.52,-13,0,11.68,20.02,nan,7,9.43,540.7,-14.71,1058.1,610.43,1503.94,-0.16,100555.55,4095,nan,9.06,nan,2796,2839,23.97,-1.7,21.84,0,18.76,2.48,535.74
20230125 15:38:15,9,10,4.68,15.03,82.1,476.23,-5.7,50.28,-14,0,11.68,20.02,nan,8,9.43,540.59,-14.6,1061.94,610.43,1505.48,-0.07,100556.52,4095,nan,9.12,nan,2796,2839,23.97,-1.14,21.91,0,18.26,2.48,498.14
20230125 15:38:16,10,10,4.68,15.03,84.09,471.43,-3.7,50.08,-14,0,11.74,20.02,nan,8,9.43,541.04,-14.6,1059.12,610.77,1506.25,-0.05,100555.55,4095,nan,9.12,nan,2796,2839,23.98,-0.89,21.82,0,18.99,3.04,554.54
20230125 15:38:17,11,10,4.8,15.03,84.09,471.43,-5.7,51.34,-13,0,11.68,20.02,nan,8,9.43,540.7,-14.39,1057.31,610.66,1504.49,-0.16,100539.94,4095,nan,9.12,nan,2797,2839,23.97,-1.7,21.82,0,19.01,2.48,441.75
20230125 15:38:18,12,10,4.68,14.56,85.63,476.23,-5.7,51.41,-14,0,11.68,20.02,nan,8,9.39,540.02,-14.6,1060.02,610.43,1503.39,-0.14,100556.52,4095,nan,9.12,nan,2796,2839,23.98,-1.57,21.9,0,18.32,2.48,535.74
